DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Propia,2. Alquilada,3. Cedida por trabajo,4. Prestada,5. Otra situación,0. __mv__,0. __na__,
6560. Moreno,5. No binario,453,301,69,3,32,48,,,
6560. Moreno,6. Otra identidad/ninguna de las anteriores,219,141,37,2,23,16,,,
6560. Moreno,7. Prefiero no contestar,630,396,95,1,52,86,,,
6560. Moreno,9. Ignorado,31498,23223,3629,176,2102,2368,,,
6568. Morón,0. __tot__,329517,218726,64154,1535,20432,24670,,,
6568. Morón,1. Mujer,165219,110579,31693,600,10084,12263,,,
6568. Morón,2. Mujer trans/travesti,379,230,92,6,25,26,,,
6568. Morón,3. Varón,149504,98733,29437,823,9358,11153,,,
6568. Morón,4. Varón trans/masculinidad trans,490,280,140,4,35,31,,,
6568. Morón,5. No binario,359,194,99,3,40,23,,,
6568. Morón,6. Otra identidad/ninguna de las anteriores,154,72,49,,14,19,,,
6568. Morón,7. Prefiero no contestar,712,383,175,5,59,90,,,
6568. Morón,9. Ignorado,12700,8255,2469,94,817,1065,,,
6574. Navarro,0. __tot__,19888,12787,3351,1161,1642,947,,,
6574. Navarro,1. Mujer,9539,6203,1596,495,790,455,,,
6574. Navarro,2. Mujer trans/travesti,21,13,2,1,2,3,,,
6574. Navarro,3. Varón,9242,5911,1541,610,753,427,,,
6574. Navarro,4. Varón trans/masculinidad trans,40,20,11,4,3,2,,,
6574. Navarro,5. No binario,12,7,4,1,,,,,
6574. Navarro,6. Otra identidad/ninguna de las anteriores,13,9,2,,,2,,,
6574. Navarro,7. Prefiero no contestar,22,14,2,,1,5,,,
6574. Navarro,9. Ignorado,999,610,193,50,93,53,,,
6581. Necochea,0. __tot__,101483,67849,18810,1491,6831,6502,,,
6581. Necochea,1. Mujer,49778,33435,9269,629,3275,3170,,,
6581. Necochea,2. Mujer trans/travesti,114,68,29,2,5,10,,,
6581. Necochea,3. Varón,45518,30404,8339,777,3086,2912,,,
6581. Necochea,4. Varón trans/masculinidad trans,118,78,28,1,8,3,,,
6581. Necochea,5. No binario,80,47,18,1,9,5,,,
6581. Necochea,6. Otra identidad/ninguna de las anteriores,46,26,16,,1,3,,,
6581. Necochea,7. Prefiero no contestar,155,85,38,,12,20,,,
6581. Necochea,9. Ignorado,5674,3706,1073,81,435,379,,,
6588. 9 de Julio,0. __tot__,52366,33994,10693,1476,3651,2552,,,
6588. 9 de Julio,1. Mujer,25602,16792,5289,578,1742,1201,,,
6588. 9 de Julio,2. Mujer trans/travesti,131,79,34,5,10,3,,,
6588. 9 de Julio,3. Varón,23914,15618,4663,792,1690,1151,,,
6588. 9 de Julio,4. Varón trans/masculinidad trans,71,44,19,,5,3,,,
6588. 9 de Julio,5. No binario,23,10,10,1,1,1,,,
6588. 9 de Julio,6. Otra identidad/ninguna de las anteriores,20,10,6,,1,3,,,
6588. 9 de Julio,7. Prefiero no contestar,66,32,19,,7,8,,,
6588. 9 de Julio,9. Ignorado,2539,1409,653,100,195,182,,,
6595. Olavarría,0. __tot__,122011,79706,27072,2107,7643,5483,,,
6595. Olavarría,1. Mujer,59562,39235,13128,869,3599,2731,,,
6595. Olavarría,2. Mujer trans/travesti,138,84,28,5,13,8,,,
6595. Olavarría,3. Varón,55807,36564,12067,1135,3583,2458,,,
6595. Olavarría,4. Varón trans/masculinidad trans,196,93,74,1,17,11,,,
6595. Olavarría,5. No binario,175,81,68,3,13,10,,,
6595. Olavarría,6. Otra identidad/ninguna de las anteriores,76,39,31,,3,3,,,
6595. Olavarría,7. Prefiero no contestar,180,86,53,4,20,17,,,
6595. Olavarría,9. Ignorado,5877,3524,1623,90,395,245,,,
6602. Patagones,0. __tot__,37499,24674,7219,526,3094,1986,,,
6602. Patagones,1. Mujer,18238,12110,3530,179,1473,946,,,
6602. Patagones,2. Mujer trans/travesti,45,30,7,1,5,2,,,
6602. Patagones,3. Varón,17748,11619,3393,303,1498,935,,,
6602. Patagones,4. Varón trans/masculinidad trans,36,19,7,,6,4,,,
6602. Patagones,5. No binario,23,13,8,,1,1,,,
6602. Patagones,6. Otra identidad/ninguna de las anteriores,7,4,2,,1,,,,
6602. Patagones,7. Prefiero no contestar,59,33,12,,6,8,,,
6602. Patagones,9. Ignorado,1343,846,260,43,104,90,,,
6609. Pehuajó,0. __tot__,44594,29250,8370,1295,3435,2244,,,
6609. Pehuajó,1. Mujer,20701,13792,3817,500,1522,1070,,,
6609. Pehuajó,2. Mujer trans/travesti,64,43,10,2,5,4,,,
6609. Pehuajó,3. Varón,19074,12628,3384,615,1508,939,,,
6609. Pehuajó,4. Varón trans/masculinidad trans,189,120,44,6,14,5,,,
6609. Pehuajó,5. No binario,41,18,19,2,2,,,,
6609. Pehuajó,6. Otra identidad/ninguna de las anteriores,112,69,25,4,13,1,,,
6609. Pehuajó,7. Prefiero no contestar,132,72,37,7,7,9,,,
6609. Pehuajó,9. Ignorado,4281,2508,1034,159,364,216,,,
6616. Pellegrini,0. __tot__,7112,4512,1589,372,446,193,,,
6616. Pellegrini,1. Mujer,3270,2169,690,131,202,78,,,
6616. Pellegrini,2. Mujer trans/travesti,5,4,1,,,,,,
6616. Pellegrini,3. Varón,3190,2071,690,157,188,84,,,
6616. Pellegrini,4. Varón trans/masculinidad trans,20,9,5,4,2,,,,
6616. Pellegrini,5. No binario,3,2,1,,,,,,
6616. Pellegrini,6. Otra identidad/ninguna de las anteriores,8,6,1,,1,,,,
6616. Pellegrini,7. Prefiero no contestar,3,,1,,2,,,,
6616. Pellegrini,9. Ignorado,613,251,200,80,51,31,,,
6623. Pergamino,0. __tot__,114988,79736,20287,1674,7491,5800,,,
6623. Pergamino,1. Mujer,56063,39182,9811,688,3577,2805,,,
6623. Pergamino,2. Mujer trans/travesti,152,104,25,2,14,7,,,
6623. Pergamino,3. Varón,51653,35790,9036,846,3442,2539,,,
6623. Pergamino,4. Varón trans/masculinidad trans,189,125,44,3,11,6,,,
6623. Pergamino,5. No binario,81,52,21,,5,3,,,
6623. Pergamino,6. Otra identidad/ninguna de las anteriores,62,36,20,1,3,2,,,
6623. Pergamino,7. Prefiero no contestar,130,75,29,1,7,18,,,
6623. Pergamino,9. Ignorado,6658,4372,1301,133,432,420,,,
6630. Pila,0. __tot__,4615,3115,388,621,254,237,,,
6630. Pila,1. Mujer,2235,1572,194,246,123,100,,,
6630. Pila,2. Mujer trans/travesti,4,2,,2,,,,,
6630. Pila,3. Varón,2185,1414,170,351,123,127,,,
6630. Pila,4. Varón trans/masculinidad trans,2,1,,1,,,,,
6630. Pila,5. No binario,2,2,,,,,,,
6630. Pila,6. Otra identidad/ninguna de las anteriores,2,2,,,,,,,
6630. Pila,7. Prefiero no contestar,5,3,,,1,1,,,
6630. Pila,9. Ignorado,180,119,24,21,7,9,,,
6638. Pilar,0. __tot__,393614,291431,58585,2736,21084,19778,,,
6638. Pilar,1. Mujer,186662,138921,27310,1085,9912,9434,,,
6638. Pilar,2. Mujer trans/travesti,576,414,98,8,38,18,,,
6638. Pilar,3. Varón,180496,134165,26575,1326,9611,8819,,,
6638. Pilar,4. Varón trans/masculinidad trans,705,458,159,13,42,33,,,
6638. Pilar,5. No binario,227,120,72,2,16,17,,,
6638. Pilar,6. Otra identidad/ninguna de las anteriores,194,112,62,5,11,4,,,
6638. Pilar,7. Prefiero no contestar,584,351,141,6,36,50,,,
6638. Pilar,9. Ignorado,24170,16890,4168,291,1418,1403,,,
6644. Pinamar,0. __tot__,39224,22295,12137,677,2467,1648,,,
6644. Pinamar,1. Mujer,17927,10475,5290,251,1126,785,,,
6644. Pinamar,2. Mujer trans/travesti,60,38,18,,3,1,,,
6644. Pinamar,3. Varón,17757,10062,5541,303,1117,734,,,
6644. Pinamar,4. Varón trans/masculinidad trans,109,60,33,8,5,3,,,
6644. Pinamar,5. No binario,16,6,8,,,2,,,
6644. Pinamar,6. Otra identidad/ninguna de las anteriores,14,6,4,1,1,2,,,
6644. Pinamar,7. Prefiero no contestar,70,32,22,1,6,9,,,
6644. Pinamar,9. Ignorado,3271,1616,1221,113,209,112,,,
6648. Presidente Perón,0. __tot__,101994,80480,8033,466,6574,6441,,,
6648. Presidente Perón,1. Mujer,48933,38648,3801,225,3172,3087,,,
6648. Presidente Perón,2. Mujer trans/travesti,173,137,15,1,10,10,,,
6648. Presidente Perón,3. Varón,47146,37401,3690,204,2985,2866,,,
6648. Presidente Perón,4. Varón trans/masculinidad trans,127,100,12,1,11,3,,,
6648. Presidente Perón,5. No binario,61,38,8,1,6,8,,,
6648. Presidente Perón,6. Otra identidad/ninguna de las anteriores,25,19,1,1,3,1,,,
6648. Presidente Perón,7. Prefiero no contestar,82,54,11,,8,9,,,
6648. Presidente Perón,9. Ignorado,5447,4083,495,33,379,457,,,
6651. Puan,0. __tot__,16391,11361,2989,553,777,711,,,
6651. Puan,1. Mujer,7789,5525,1373,201,361,329,,,
6651. Puan,2. Mujer trans/travesti,12,9,3,,,,,,
6651. Puan,3. Varón,7555,5224,1329,308,367,327,,,
6651. Puan,4. Varón trans/masculinidad trans,31,20,9,,1,1,,,
6651. Puan,5. No binario,2,2,,,,,,,
6651. Puan,6. Otra identidad/ninguna de las anteriores,4,2,2,,,,,,
6651. Puan,7. Prefiero no contestar,18,6,7,,2,3,,,
6651. Puan,9. Ignorado,980,573,266,44,46,51,,,
6655. Punta Indio,0. __tot__,12161,7900,1974,824,710,753,,,
6655. Punta Indio,1. Mujer,5828,3836,962,343,327,360,,,
6655. Punta Indio,2. Mujer trans/travesti,11,6,2,2,,1,,,
6655. Punta Indio,3. Varón,5691,3666,908,431,335,351,,,
6655. Punta Indio,4. Varón trans/masculinidad trans,10,6,2,,1,1,,,
6655. Punta Indio,5. No binario,4,3,,,,1,,,
6655. Punta Indio,6. Otra identidad/ninguna de las anteriores,3,2,1,,,,,,
6655. Punta Indio,7. Prefiero no contestar,20,13,2,,5,,,,
6655. Punta Indio,9. Ignorado,594,368,97,48,42,39,,,
6658. Quilmes,0. __tot__,631774,459697,86367,1747,37745,46218,,,
6658. Quilmes,1. Mujer,309407,226199,41713,752,18036,22707,,,
6658. Quilmes,2. Mujer trans/travesti,822,591,113,5,62,51,,,
6658. Quilmes,3. Varón,286938,209157,39109,827,17238,20607,,,
6658. Quilmes,4. Varón trans/masculinidad trans,902,600,172,8,66,56,,,
6658. Quilmes,5. No binario,453,267,111,2,28,45,,,
6658. Quilmes,6. Otra identidad/ninguna de las anteriores,266,155,64,2,18,27,,,
6658. Quilmes,7. Prefiero no contestar,956,530,178,3,94,151,,,
6658. Quilmes,9. Ignorado,32030,22198,4907,148,2203,2574,,,
6665. Ramallo,0. __tot__,39648,28845,6151,628,2207,1817,,,
6665. Ramallo,1. Mujer,19103,14049,2867,255,1046,886,,,
6665. Ramallo,2. Mujer trans/travesti,62,45,9,1,5,2,,,
6665. Ramallo,3. Varón,18426,13447,2835,301,1032,811,,,
6665. Ramallo,4. Varón trans/masculinidad trans,126,70,32,8,9,7,,,
6665. Ramallo,5. No binario,24,17,3,,4,,,,
6665. Ramallo,6. Otra identidad/ninguna de las anteriores,10,3,2,1,1,3,,,
6665. Ramallo,7. Prefiero no contestar,37,22,5,,5,5,,,
6665. Ramallo,9. Ignorado,1860,1192,398,62,105,103,,,
6672. Rauch,0. __tot__,16491,10831,3042,999,1002,617,,,
6672. Rauch,1. Mujer,7928,5293,1474,392,474,295,,,
6672. Rauch,2. Mujer trans/travesti,30,19,4,6,1,,,,
6672. Rauch,3. Varón,7746,5059,1391,532,476,288,,,
6672. Rauch,4. Varón trans/masculinidad trans,20,13,4,2,,1,,,
6672. Rauch,5. No binario,6,4,,,2,,,,
6672. Rauch,6. Otra identidad/ninguna de las anteriores,3,2,,,,1,,,
6672. Rauch,7. Prefiero no contestar,25,8,10,1,2,4,,,
6672. Rauch,9. Ignorado,733,433,159,66,47,28,,,
6679. Rivadavia,0. __tot__,19735,12914,3437,1284,1309,791,,,
6679. Rivadavia,1. Mujer,9179,6181,1618,436,589,355,,,
6679. Rivadavia,2. Mujer trans/travesti,32,21,7,3,1,,,,
6679. Rivadavia,3. Varón,9096,5960,1579,566,630,361,,,
6679. Rivadavia,4. Varón trans/masculinidad trans,85,46,15,13,4,7,,,
6679. Rivadavia,5. No binario,18,14,,3,,1,,,
6679. Rivadavia,6. Otra identidad/ninguna de las anteriores,10,8,1,1,,,,,
6679. Rivadavia,7. Prefiero no contestar,18,8,3,2,,5,,,
6679. Rivadavia,9. Ignorado,1297,676,214,260,85,62,,,
6686. Rojas,0. __tot__,25619,17887,3829,670,1812,1421,,,
6686. Rojas,1. Mujer,12511,8858,1830,262,859,702,,,
6686. Rojas,2. Mujer trans/travesti,33,18,9,1,5,,,,
6686. Rojas,3. Varón,11756,8216,1746,333,832,629,,,
6686. Rojas,4. Varón trans/masculinidad trans,39,28,5,3,3,,,,
6686. Rojas,5. No binario,10,8,1,,1,,,,
6686. Rojas,6. Otra identidad/ninguna de las anteriores,13,8,2,1,2,,,,
6686. Rojas,7. Prefiero no contestar,28,15,5,2,2,4,,,
6686. Rojas,9. Ignorado,1229,736,231,68,108,86,,,
6693. Roque Pérez,0. __tot__,13901,8923,3003,751,759,465,,,
6693. Roque Pérez,1. Mujer,6873,4511,1437,322,367,236,,,
6693. Roque Pérez,2. Mujer trans/travesti,18,8,7,2,1,,,,
6693. Roque Pérez,3. Varón,6589,4150,1460,405,363,211,,,
6693. Roque Pérez,4. Varón trans/masculinidad trans,9,7,2,,,,,,
6693. Roque Pérez,5. No binario,4,1,1,,2,,,,
6693. Roque Pérez,6. Otra identidad/ninguna de las anteriores,2,1,1,,,,,,
6693. Roque Pérez,7. Prefiero no contestar,15,5,10,,,,,,
6693. Roque Pérez,9. Ignorado,391,240,85,22,26,18,,,
6700. Saavedra,0. __tot__,21407,13610,4979,840,1062,916,,,
6700. Saavedra,1. Mujer,10641,6897,2444,348,494,458,,,
6700. Saavedra,2. Mujer trans/travesti,24,14,7,1,2,,,,
6700. Saavedra,3. Varón,10120,6356,2359,446,528,431,,,
6700. Saavedra,4. Varón trans/masculinidad trans,18,14,1,2,,1,,,
6700. Saavedra,5. No binario,1,1,,,,,,,
6700. Saavedra,6. Otra identidad/ninguna de las anteriores,7,4,1,,2,,,,
6700. Saavedra,7. Prefiero no contestar,27,12,9,2,3,1,,,
6700. Saavedra,9. Ignorado,569,312,158,41,33,25,,,
6707. Saladillo,0. __tot__,35423,23114,7596,1009,2214,1490,,,
6707. Saladillo,1. Mujer,17650,11587,3823,420,1076,744,,,
6707. Saladillo,2. Mujer trans/travesti,32,25,3,2,,2,,,
6707. Saladillo,3. Varón,16752,10955,3505,558,1046,688,,,
6707. Saladillo,4. Varón trans/masculinidad trans,25,14,6,2,3,,,,
6707. Saladillo,5. No binario,8,3,3,,1,1,,,
6707. Saladillo,6. Otra identidad/ninguna de las anteriores,9,7,,,2,,,,
6707. Saladillo,7. Prefiero no contestar,25,10,8,,5,2,,,
6707. Saladillo,9. Ignorado,922,513,248,27,81,53,,,
6714. Salto,0. __tot__,39257,26020,8235,707,2383,1912,,,
6714. Salto,1. Mujer,18332,12331,3711,267,1093,930,,,
6714. Salto,2. Mujer trans/travesti,63,40,16,1,2,4,,,
6714. Salto,3. Varón,17618,11714,3740,347,1020,797,,,
6714. Salto,4. Varón trans/masculinidad trans,98,53,25,3,7,10,,,
6714. Salto,5. No binario,26,12,10,,1,3,,,
6714. Salto,6. Otra identidad/ninguna de las anteriores,31,21,5,2,2,1,,,
6714. Salto,7. Prefiero no contestar,33,19,8,,3,3,,,
6714. Salto,9. Ignorado,3056,1830,720,87,255,164,,,
6721. Salliqueló,0. __tot__,9344,6296,1831,215,694,308,,,
6721. Salliqueló,1. Mujer,4491,3084,854,75,327,151,,,
6721. Salliqueló,2. Mujer trans/travesti,13,7,2,1,2,1,,,
6721. Salliqueló,3. Varón,4322,2879,863,123,319,138,,,
6721. Salliqueló,4. Varón trans/masculinidad trans,14,7,5,,1,1,,,
6721. Salliqueló,6. Otra identidad/ninguna de las anteriores,2,,2,,,,,,
6721. Salliqueló,7. Prefiero no contestar,13,8,2,,2,1,,,
6721. Salliqueló,9. Ignorado,489,311,103,16,43,16,,,
6728. San Andrés de Giles,0. __tot__,26399,16306,4771,1925,2084,1313,,,
6728. San Andrés de Giles,1. Mujer,12795,8033,2330,820,991,621,,,
6728. San Andrés de Giles,2. Mujer trans/travesti,45,28,5,6,2,4,,,
6728. San Andrés de Giles,3. Varón,12620,7718,2205,1045,1001,651,,,
6728. San Andrés de Giles,4. Varón trans/masculinidad trans,30,14,10,,3,3,,,
6728. San Andrés de Giles,5. No binario,16,7,3,,6,,,,
6728. San Andrés de Giles,6. Otra identidad/ninguna de las anteriores,7,,6,,1,,,,
6728. San Andrés de Giles,7. Prefiero no contestar,24,9,3,1,2,9,,,
6728. San Andrés de Giles,9. Ignorado,862,497,209,53,78,25,,,
6735. San Antonio de Areco,0. __tot__,26695,17936,5042,1041,1353,1323,,,
6735. San Antonio de Areco,1. Mujer,13028,8809,2468,446,661,644,,,
6735. San Antonio de Areco,2. Mujer trans/travesti,47,27,8,2,6,4,,,
6735. San Antonio de Areco,3. Varón,12328,8255,2301,551,611,610,,,
6735. San Antonio de Areco,4. Varón trans/masculinidad trans,74,48,18,2,3,3,,,
6735. San Antonio de Areco,5. No binario,13,9,4,,,,,,
6735. San Antonio de Areco,6. Otra identidad/ninguna de las anteriores,10,5,4,1,,,,,
6735. San Antonio de Areco,7. Prefiero no contestar,36,23,5,1,6,1,,,
6735. San Antonio de Areco,9. Ignorado,1159,760,234,38,66,61,,,
6742. San Cayetano,0. __tot__,8918,6230,1375,395,503,415,,,
6742. San Cayetano,1. Mujer,4255,2999,657,173,240,186,,,
6742. San Cayetano,2. Mujer trans/travesti,10,7,2,,1,,,,
6742. San Cayetano,3. Varón,4075,2853,575,202,240,205,,,
6742. San Cayetano,4. Varón trans/masculinidad trans,31,21,9,1,,,,,
6742. San Cayetano,7. Prefiero no contestar,9,4,4,1,,,,,
6742. San Cayetano,9. Ignorado,538,346,128,18,22,24,,,
6749. San Fernando,0. __tot__,171099,111113,35635,1066,10411,12874,,,
6749. San Fernando,1. Mujer,84447,55096,17320,460,5178,6393,,,
6749. San Fernando,2. Mujer trans/travesti,220,148,49,1,11,11,,,
6749. San Fernando,3. Varón,77007,49969,16142,519,4724,5653,,,
6749. San Fernando,4. Varón trans/masculinidad trans,220,141,52,3,11,13,,,
6749. San Fernando,5. No binario,112,62,33,,5,12,,,
6749. San Fernando,6. Otra identidad/ninguna de las anteriores,71,32,20,,10,9,,,
6749. San Fernando,7. Prefiero no contestar,272,152,72,,12,36,,,
6749. San Fernando,9. Ignorado,8750,5513,1947,83,460,747,,,
6756. San Isidro,0. __tot__,295978,204979,58198,1612,13712,17477,,,
6756. San Isidro,1. Mujer,148003,103459,28356,691,6716,8781,,,
6756. San Isidro,2. Mujer trans/travesti,384,274,72,1,16,21,,,
6756. San Isidro,3. Varón,131612,91075,25901,776,6172,7688,,,
6756. San Isidro,4. Varón trans/masculinidad trans,587,343,169,5,38,32,,,
6756. San Isidro,5. No binario,293,167,84,1,17,24,,,
6756. San Isidro,6. Otra identidad/ninguna de las anteriores,141,83,40,1,8,9,,,
6756. San Isidro,7. Prefiero no contestar,639,359,154,2,55,69,,,
6756. San Isidro,9. Ignorado,14319,9219,3422,135,690,853,,,
6760. San Miguel,0. __tot__,327650,223822,59741,2406,19629,22052,,,
6760. San Miguel,1. Mujer,157686,108448,28283,951,9442,10562,,,
6760. San Miguel,2. Mujer trans/travesti,392,272,71,6,23,20,,,
6760. San Miguel,3. Varón,147872,101183,26815,1239,8824,9811,,,
6760. San Miguel,4. Varón trans/masculinidad trans,880,532,221,7,66,54,,,
6760. San Miguel,5. No binario,332,177,79,2,41,33,,,
6760. San Miguel,6. Otra identidad/ninguna de las anteriores,196,106,61,2,12,15,,,
6760. San Miguel,7. Prefiero no contestar,567,310,135,6,54,62,,,
6760. San Miguel,9. Ignorado,19725,12794,4076,193,1167,1495,,,
6763. San Nicolás,0. __tot__,166657,117162,25871,1282,11773,10569,,,
6763. San Nicolás,1. Mujer,79131,56327,11905,509,5397,4993,,,
6763. San Nicolás,2. Mujer trans/travesti,231,148,43,4,18,18,,,
6763. San Nicolás,3. Varón,74295,52611,11248,556,5319,4561,,,
6763. San Nicolás,4. Varón trans/masculinidad trans,559,359,123,9,36,32,,,
6763. San Nicolás,5. No binario,124,64,37,2,8,13,,,
6763. San Nicolás,6. Otra identidad/ninguna de las anteriores,142,73,41,3,10,15,,,
6763. San Nicolás,7. Prefiero no contestar,181,103,32,2,19,25,,,
6763. San Nicolás,9. Ignorado,11994,7477,2442,197,966,912,,,
6770. San Pedro,0. __tot__,68353,48353,10598,1189,4820,3393,,,
6770. San Pedro,1. Mujer,33271,23559,5188,511,2331,1682,,,
6770. San Pedro,2. Mujer trans/travesti,137,103,21,2,8,3,,,
6770. San Pedro,3. Varón,31771,22627,4746,634,2220,1544,,,
6770. San Pedro,4. Varón trans/masculinidad trans,120,73,29,2,11,5,,,
6770. San Pedro,5. No binario,31,19,8,1,2,1,,,
6770. San Pedro,6. Otra identidad/ninguna de las anteriores,14,6,4,1,2,1,,,
6770. San Pedro,7. Prefiero no contestar,46,23,16,,2,5,,,
6770. San Pedro,9. Ignorado,2963,1943,586,38,244,152,,,
6778. San Vicente,0. __tot__,97929,78609,8470,911,5155,4784,,,
6778. San Vicente,1. Mujer,46787,37782,3962,353,2413,2277,,,
6778. San Vicente,2. Mujer trans/travesti,125,100,12,1,6,6,,,
6778. San Vicente,3. Varón,45370,36532,3846,461,2378,2153,,,
6778. San Vicente,4. Varón trans/masculinidad trans,138,103,14,1,9,11,,,
6778. San Vicente,5. No binario,59,45,8,1,1,4,,,
6778. San Vicente,6. Otra identidad/ninguna de las anteriores,23,16,3,,1,3,,,
6778. San Vicente,7. Prefiero no contestar,132,91,15,,10,16,,,
6778. San Vicente,9. Ignorado,5295,3940,610,94,337,314,,,
6784. Suipacha,0. __tot__,11736,7922,1823,804,702,485,,,
6784. Suipacha,1. Mujer,5648,3916,886,296,327,223,,,
6784. Suipacha,2. Mujer trans/travesti,8,6,1,1,,,,,
6784. Suipacha,3. Varón,5423,3662,844,378,312,227,,,
6784. Suipacha,4. Varón trans/masculinidad trans,26,10,3,11,,2,,,
6784. Suipacha,5. No binario,3,,,3,,,,,
6784. Suipacha,6. Otra identidad/ninguna de las anteriores,4,1,1,2,,,,,
6784. Suipacha,7. Prefiero no contestar,12,7,,2,,3,,,
6784. Suipacha,9. Ignorado,612,320,88,111,63,30,,,
6791. Tandil,0. __tot__,144678,89345,36825,3460,8240,6808,,,
6791. Tandil,1. Mujer,71173,44407,18002,1464,3988,3312,,,
6791. Tandil,2. Mujer trans/travesti,136,65,51,5,11,4,,,
6791. Tandil,3. Varón,66358,40962,16709,1775,3821,3091,,,
6791. Tandil,4. Varón trans/masculinidad trans,234,128,78,3,14,11,,,
6791. Tandil,5. No binario,115,47,49,2,9,8,,,
6791. Tandil,6. Otra identidad/ninguna de las anteriores,60,31,19,1,5,4,,,
6791. Tandil,7. Prefiero no contestar,234,97,93,3,16,25,,,
6791. Tandil,9. Ignorado,6368,3608,1824,207,376,353,,,
6798. Tapalqué,0. __tot__,10695,6990,1639,772,704,590,,,
6798. Tapalqué,1. Mujer,5031,3358,760,299,332,282,,,
6798. Tapalqué,2. Mujer trans/travesti,26,17,5,,3,1,,,
6798. Tapalqué,3. Varón,4884,3182,693,434,312,263,,,
6798. Tapalqué,4. Varón trans/masculinidad trans,31,16,11,1,1,2,,,
6798. Tapalqué,5. No binario,4,4,,,,,,,
6798. Tapalqué,6. Otra identidad/ninguna de las anteriores,2,2,,,,,,,
6798. Tapalqué,7. Prefiero no contestar,14,7,5,,,2,,,
6798. Tapalqué,9. Ignorado,703,404,165,38,56,40,,,
6805. Tigre,0. __tot__,446291,312742,73470,2234,26237,31608,,,
6805. Tigre,1. Mujer,213540,150421,34460,921,12531,15207,,,
6805. Tigre,2. Mujer trans/travesti,580,368,127,4,34,47,,,
6805. Tigre,3. Varón,201627,141711,32794,1053,11984,14085,,,
6805. Tigre,4. Varón trans/masculinidad trans,803,500,201,8,58,36,,,
6805. Tigre,5. No binario,333,200,67,2,28,36,,,
6805. Tigre,6. Otra identidad/ninguna de las anteriores,182,103,48,1,11,19,,,
6805. Tigre,7. Prefiero no contestar,766,464,130,4,56,112,,,
6805. Tigre,9. Ignorado,28460,18975,5643,241,1535,2066,,,
6812. Tordillo,0. __tot__,2528,1827,290,226,136,49,,,
6812. Tordillo,1. Mujer,1174,870,129,82,67,26,,,
6812. Tordillo,3. Varón,1262,897,146,134,65,20,,,
6812. Tordillo,6. Otra identidad/ninguna de las anteriores,3,,3,,,,,,
6812. Tordillo,7. Prefiero no contestar,4,2,2,,,,,,
6812. Tordillo,9. Ignorado,85,58,10,10,4,3,,,
6819. Tornquist,0. __tot__,14591,8906,3553,585,881,666,,,
6819. Tornquist,1. Mujer,7023,4353,1696,227,419,328,,,
6819. Tornquist,2. Mujer trans/travesti,22,13,7,1,1,,,,
6819. Tornquist,3. Varón,6798,4089,1665,329,409,306,,,
6819. Tornquist,4. Varón trans/masculinidad trans,45,29,12,2,2,,,,
6819. Tornquist,5. No binario,12,9,2,,1,,,,
6819. Tornquist,6. Otra identidad/ninguna de las anteriores,9,6,1,,1,1,,,
6819. Tornquist,7. Prefiero no contestar,24,13,9,,,2,,,
6819. Tornquist,9. Ignorado,658,394,161,26,48,29,,,
6826. Trenque Lauquen,0. __tot__,49128,31879,10143,2290,2901,1915,,,
6826. Trenque Lauquen,1. Mujer,23571,15617,4821,842,1384,907,,,
6826. Trenque Lauquen,2. Mujer trans/travesti,85,51,24,8,,2,,,
6826. Trenque Lauquen,3. Varón,22676,14596,4629,1213,1339,899,,,
6826. Trenque Lauquen,4. Varón trans/masculinidad trans,166,99,36,11,16,4,,,
6826. Trenque Lauquen,5. No binario,43,27,3,9,3,1,,,
6826. Trenque Lauquen,6. Otra identidad/ninguna de las anteriores,43,27,9,3,3,1,,,
6826. Trenque Lauquen,7. Prefiero no contestar,77,52,15,2,6,2,,,
6826. Trenque Lauquen,9. Ignorado,2467,1410,606,202,150,99,,,
6833. Tres Arroyos,0. __tot__,61889,42055,12302,830,3362,3340,,,
6833. Tres Arroyos,1. Mujer,30709,20996,6065,350,1653,1645,,,
6833. Tres Arroyos,2. Mujer trans/travesti,61,39,16,2,1,3,,,
6833. Tres Arroyos,3. Varón,29152,19832,5816,428,1550,1526,,,
6833. Tres Arroyos,4. Varón trans/masculinidad trans,38,25,7,2,2,2,,,
6833. Tres Arroyos,5. No binario,27,19,6,,,2,,,
6833. Tres Arroyos,6. Otra identidad/ninguna de las anteriores,16,9,3,,2,2,,,
6833. Tres Arroyos,7. Prefiero no contestar,88,46,20,1,13,8,,,
6833. Tres Arroyos,9. Ignorado,1798,1089,369,47,141,152,,,
6840. Tres de Febrero,0. __tot__,362319,230415,84914,1289,20918,24783,,,
6840. Tres de Febrero,1. Mujer,180624,116061,41368,537,10338,12320,,,
6840. Tres de Febrero,2. Mujer trans/travesti,407,265,98,2,21,21,,,
6840. Tres de Febrero,3. Varón,164453,104198,39059,614,9550,11032,,,
6840. Tres de Febrero,4. Varón trans/masculinidad trans,496,294,145,2,21,34,,,
6840. Tres de Febrero,5. No binario,307,146,89,2,36,34,,,
6840. Tres de Febrero,6. Otra identidad/ninguna de las anteriores,185,94,53,2,15,21,,,
6840. Tres de Febrero,7. Prefiero no contestar,651,304,183,4,59,101,,,
6840. Tres de Febrero,9. Ignorado,15196,9053,3919,126,878,1220,,,
