DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Servicio doméstico,2. Empleada(o) u obrera(o),3. Cuenta propia,4. Patrón(a) o empleador(a),5. Trabajador(a) familiar,9. Ignorado,0. __mv__,0. __na__,
22105. 9 de Julio,1. Mujer,5018,1254,1725,1296,172,243,328,,9812,
22105. 9 de Julio,2. Mujer trans/travesti,13,2,2,7,1,1,,,20,
22105. 9 de Julio,3. Varón,7564,61,3840,2654,424,312,273,,6510,
22105. 9 de Julio,4. Varón trans/masculinidad trans,11,,3,7,1,,,,17,
22105. 9 de Julio,5. No binario,4,,1,3,,,,,7,
22105. 9 de Julio,6. Otra identidad/ninguna de las anteriores,5,,4,1,,,,,2,
22105. 9 de Julio,7. Prefiero no contestar,14,1,3,6,2,,2,,8,
22105. 9 de Julio,9. Ignorado,263,12,132,83,8,11,17,,955,
22112. O'Higgins,0. __tot__,8002,714,3784,2257,373,409,465,,13542,
22112. O'Higgins,1. Mujer,2950,663,1126,691,76,154,240,,7629,
22112. O'Higgins,2. Mujer trans/travesti,8,,5,2,1,,,,18,
22112. O'Higgins,3. Varón,4917,46,2603,1518,287,250,213,,5345,
22112. O'Higgins,4. Varón trans/masculinidad trans,6,,3,1,2,,,,6,
22112. O'Higgins,5. No binario,,,,,,,,,1,
22112. O'Higgins,6. Otra identidad/ninguna de las anteriores,,,,,,,,,1,
22112. O'Higgins,7. Prefiero no contestar,2,,,2,,,,,1,
22112. O'Higgins,9. Ignorado,119,5,47,43,7,5,12,,541,
22119. Presidencia de la Plaza,0. __tot__,5602,470,2385,1770,247,229,501,,8336,
22119. Presidencia de la Plaza,1. Mujer,2247,444,820,574,60,95,254,,4646,
22119. Presidencia de la Plaza,2. Mujer trans/travesti,8,,3,3,1,,1,,18,
22119. Presidencia de la Plaza,3. Varón,3272,23,1529,1169,183,132,236,,3257,
22119. Presidencia de la Plaza,4. Varón trans/masculinidad trans,6,,2,3,,1,,,3,
22119. Presidencia de la Plaza,5. No binario,1,,1,,,,,,1,
22119. Presidencia de la Plaza,7. Prefiero no contestar,3,,2,,,,1,,1,
22119. Presidencia de la Plaza,9. Ignorado,65,3,28,21,3,1,9,,410,
22126. 1º de Mayo,0. __tot__,6323,517,2930,2018,306,247,305,,7942,
22126. 1º de Mayo,1. Mujer,2506,478,1059,653,84,97,135,,4356,
22126. 1º de Mayo,2. Mujer trans/travesti,8,,6,2,,,,,9,
22126. 1º de Mayo,3. Varón,3688,36,1809,1326,211,149,157,,3118,
22126. 1º de Mayo,4. Varón trans/masculinidad trans,5,,3,2,,,,,1,
22126. 1º de Mayo,5. No binario,1,,1,,,,,,,
22126. 1º de Mayo,6. Otra identidad/ninguna de las anteriores,2,,1,1,,,,,1,
22126. 1º de Mayo,7. Prefiero no contestar,9,,2,2,2,,3,,5,
22126. 1º de Mayo,9. Ignorado,104,3,49,32,9,1,10,,452,
22133. Quitilipi,0. __tot__,12984,1136,5530,4008,656,582,1072,,19446,
22133. Quitilipi,1. Mujer,4912,1035,1699,1207,203,228,540,,10819,
22133. Quitilipi,2. Mujer trans/travesti,12,2,5,2,,1,2,,24,
22133. Quitilipi,3. Varón,7646,70,3652,2663,427,339,495,,7406,
22133. Quitilipi,4. Varón trans/masculinidad trans,7,,3,4,,,,,2,
22133. Quitilipi,5. No binario,1,,,1,,,,,2,
22133. Quitilipi,6. Otra identidad/ninguna de las anteriores,1,,,,,,1,,2,
22133. Quitilipi,7. Prefiero no contestar,14,,7,5,1,,1,,7,
22133. Quitilipi,9. Ignorado,391,29,164,126,25,14,33,,1184,
22140. San Fernando,0. __tot__,194404,13123,98931,56675,9435,5303,10937,,219360,
22140. San Fernando,1. Mujer,88158,12288,42425,21934,3576,2428,5507,,118523,
22140. San Fernando,2. Mujer trans/travesti,209,20,88,72,11,6,12,,241,
22140. San Fernando,3. Varón,101424,583,54458,33219,5614,2725,4825,,86038,
22140. San Fernando,4. Varón trans/masculinidad trans,137,2,69,42,13,7,4,,127,
22140. San Fernando,5. No binario,99,7,45,34,2,4,7,,68,
22140. San Fernando,6. Otra identidad/ninguna de las anteriores,53,3,32,17,1,,,,35,
22140. San Fernando,7. Prefiero no contestar,239,6,120,61,13,8,31,,240,
22140. San Fernando,9. Ignorado,4085,214,1694,1296,205,125,551,,14088,
22147. San Lorenzo,0. __tot__,5639,522,2320,1764,275,268,490,,10406,
22147. San Lorenzo,1. Mujer,2090,463,739,479,82,92,235,,5763,
22147. San Lorenzo,2. Mujer trans/travesti,3,1,,2,,,,,6,
22147. San Lorenzo,3. Varón,3453,51,1549,1245,189,171,248,,4065,
22147. San Lorenzo,4. Varón trans/masculinidad trans,3,,,2,,1,,,4,
22147. San Lorenzo,5. No binario,1,,,1,,,,,3,
22147. San Lorenzo,6. Otra identidad/ninguna de las anteriores,4,,4,,,,,,9,
22147. San Lorenzo,7. Prefiero no contestar,3,1,,1,,,1,,4,
22147. San Lorenzo,9. Ignorado,82,6,28,34,4,4,6,,552,
22154. Sargento Cabral,0. __tot__,7421,567,3381,2289,325,357,502,,11275,
22154. Sargento Cabral,1. Mujer,2882,509,1231,658,107,126,251,,6080,
22154. Sargento Cabral,2. Mujer trans/travesti,7,,3,4,,,,,13,
22154. Sargento Cabral,3. Varón,4305,44,2064,1539,203,222,233,,4467,
22154. Sargento Cabral,4. Varón trans/masculinidad trans,5,,2,2,,,1,,5,
22154. Sargento Cabral,5. No binario,1,1,,,,,,,,
22154. Sargento Cabral,6. Otra identidad/ninguna de las anteriores,1,,1,,,,,,,
22154. Sargento Cabral,7. Prefiero no contestar,3,1,,1,,,1,,6,
22154. Sargento Cabral,9. Ignorado,217,12,80,85,15,9,16,,704,
22161. Tapenagá,0. __tot__,1539,81,841,421,63,47,86,,2512,
22161. Tapenagá,1. Mujer,488,78,224,111,12,18,45,,1421,
22161. Tapenagá,2. Mujer trans/travesti,3,,1,1,,,1,,1,
22161. Tapenagá,3. Varón,1008,3,597,296,48,27,37,,946,
22161. Tapenagá,4. Varón trans/masculinidad trans,2,,1,1,,,,,1,
22161. Tapenagá,6. Otra identidad/ninguna de las anteriores,2,,1,,,,1,,3,
22161. Tapenagá,7. Prefiero no contestar,,,,,,,,,1,
22161. Tapenagá,9. Ignorado,36,,17,12,3,2,2,,139,
22168. 25 de Mayo,0. __tot__,12702,1154,5291,4332,716,478,731,,19904,
22168. 25 de Mayo,1. Mujer,4479,1078,1559,1156,167,168,351,,11253,
22168. 25 de Mayo,2. Mujer trans/travesti,11,1,3,5,2,,,,40,
22168. 25 de Mayo,3. Varón,7887,58,3610,3065,538,295,321,,7645,
22168. 25 de Mayo,4. Varón trans/masculinidad trans,8,,3,4,1,,,,5,
22168. 25 de Mayo,5. No binario,2,,1,1,,,,,5,
22168. 25 de Mayo,6. Otra identidad/ninguna de las anteriores,,,,,,,,,3,
22168. 25 de Mayo,7. Prefiero no contestar,4,,2,2,,,,,4,
22168. 25 de Mayo,9. Ignorado,311,17,113,99,8,15,59,,949,
26007. Biedma,0. __tot__,48510,2920,26997,13069,2307,1334,1883,,54296,
26007. Biedma,1. Mujer,21121,2787,10664,5425,821,576,848,,28207,
26007. Biedma,2. Mujer trans/travesti,53,,28,17,3,3,2,,77,
26007. Biedma,3. Varón,26095,95,15672,7241,1420,716,951,,22018,
26007. Biedma,4. Varón trans/masculinidad trans,54,1,27,18,4,2,2,,68,
26007. Biedma,5. No binario,57,2,25,22,2,2,4,,53,
26007. Biedma,6. Otra identidad/ninguna de las anteriores,46,1,24,13,2,4,2,,43,
26007. Biedma,7. Prefiero no contestar,84,1,44,25,5,,9,,93,
26007. Biedma,9. Ignorado,1000,33,513,308,50,31,65,,3737,
26014. Cushamen,0. __tot__,14309,727,6716,5425,377,551,513,,13790,
26014. Cushamen,1. Mujer,6227,656,3047,1925,138,208,253,,7318,
26014. Cushamen,2. Mujer trans/travesti,19,1,10,8,,,,,19,
26014. Cushamen,3. Varón,7717,57,3525,3337,233,332,233,,5681,
26014. Cushamen,4. Varón trans/masculinidad trans,10,,5,4,,1,,,9,
26014. Cushamen,5. No binario,38,1,16,19,,1,1,,19,
26014. Cushamen,6. Otra identidad/ninguna de las anteriores,21,2,10,7,,2,,,6,
26014. Cushamen,7. Prefiero no contestar,47,2,13,22,1,1,8,,59,
26014. Cushamen,9. Ignorado,230,8,90,103,5,6,18,,679,
26021. Escalante,0. __tot__,100062,6320,57010,24919,4862,2845,4106,,114767,
26021. Escalante,1. Mujer,42281,5960,20998,10738,1597,1165,1823,,62590,
26021. Escalante,2. Mujer trans/travesti,79,5,37,30,2,2,3,,114,
26021. Escalante,3. Varón,55967,285,35083,13663,3163,1631,2142,,45784,
26021. Escalante,4. Varón trans/masculinidad trans,95,4,58,24,5,3,1,,108,
26021. Escalante,5. No binario,52,4,25,21,2,,,,42,
26021. Escalante,6. Otra identidad/ninguna de las anteriores,31,2,17,5,3,2,2,,17,
26021. Escalante,7. Prefiero no contestar,135,3,71,38,3,4,16,,138,
26021. Escalante,9. Ignorado,1422,57,721,400,87,38,119,,5974,
26028. Florentino Ameghino,0. __tot__,880,61,509,201,24,43,42,,902,
26028. Florentino Ameghino,1. Mujer,334,56,162,81,3,19,13,,478,
26028. Florentino Ameghino,3. Varón,527,5,333,116,21,24,28,,368,
26028. Florentino Ameghino,5. No binario,1,,1,,,,,,,
26028. Florentino Ameghino,6. Otra identidad/ninguna de las anteriores,1,,1,,,,,,,
26028. Florentino Ameghino,7. Prefiero no contestar,1,,1,,,,,,,
26028. Florentino Ameghino,9. Ignorado,16,,11,4,,,1,,56,
26035. Futaleufú,0. __tot__,24931,1903,13077,7140,1055,675,1081,,25034,
26035. Futaleufú,1. Mujer,11533,1809,5867,2675,369,321,492,,13586,
26035. Futaleufú,2. Mujer trans/travesti,23,3,10,6,,1,3,,15,
26035. Futaleufú,3. Varón,12984,66,7012,4334,670,343,559,,10218,
26035. Futaleufú,4. Varón trans/masculinidad trans,10,,6,3,1,,,,15,
26035. Futaleufú,5. No binario,26,1,15,7,1,,2,,18,
26035. Futaleufú,6. Otra identidad/ninguna de las anteriores,11,,8,2,,,1,,7,
26035. Futaleufú,7. Prefiero no contestar,51,4,23,18,2,1,3,,55,
26035. Futaleufú,9. Ignorado,293,20,136,95,12,9,21,,1120,
26042. Gaiman,0. __tot__,6158,363,3312,1754,258,263,208,,6347,
26042. Gaiman,1. Mujer,2592,346,1431,556,60,112,87,,3456,
26042. Gaiman,2. Mujer trans/travesti,5,1,2,,,1,1,,4,
26042. Gaiman,3. Varón,3443,13,1820,1170,195,136,109,,2553,
26042. Gaiman,4. Varón trans/masculinidad trans,7,,4,2,1,,,,5,
26042. Gaiman,5. No binario,1,,,,,1,,,1,
26042. Gaiman,6. Otra identidad/ninguna de las anteriores,2,,,1,,1,,,1,
26042. Gaiman,7. Prefiero no contestar,13,,7,3,,2,1,,15,
26042. Gaiman,9. Ignorado,95,3,48,22,2,10,10,,312,
26049. Gastre,0. __tot__,703,12,308,252,30,64,37,,478,
26049. Gastre,1. Mujer,255,11,139,66,6,17,16,,234,
26049. Gastre,3. Varón,432,1,165,178,22,45,21,,210,
26049. Gastre,4. Varón trans/masculinidad trans,,,,,,,,,2,
26049. Gastre,9. Ignorado,16,,4,8,2,2,,,32,
26056. Languiñeo,0. __tot__,1364,81,704,424,25,77,53,,1498,
26056. Languiñeo,1. Mujer,514,75,256,134,5,23,21,,806,
26056. Languiñeo,2. Mujer trans/travesti,1,1,,,,,,,3,
26056. Languiñeo,3. Varón,829,5,435,286,20,52,31,,633,
26056. Languiñeo,5. No binario,1,,1,,,,,,,
26056. Languiñeo,7. Prefiero no contestar,2,,2,,,,,,2,
26056. Languiñeo,9. Ignorado,17,,10,4,,2,1,,54,
26063. Mártires,0. __tot__,412,18,224,114,17,20,19,,332,
26063. Mártires,1. Mujer,146,16,78,31,2,10,9,,161,
26063. Mártires,3. Varón,257,2,139,81,15,10,10,,145,
26063. Mártires,4. Varón trans/masculinidad trans,1,,1,,,,,,,
26063. Mártires,7. Prefiero no contestar,1,,1,,,,,,,
26063. Mártires,9. Ignorado,7,,5,2,,,,,26,
26070. Paso de Indios,0. __tot__,1039,52,599,264,50,43,31,,843,
26070. Paso de Indios,1. Mujer,382,47,234,67,9,10,15,,450,
26070. Paso de Indios,2. Mujer trans/travesti,,,,,,,,,1,
26070. Paso de Indios,3. Varón,634,4,352,190,40,32,16,,352,
26070. Paso de Indios,9. Ignorado,23,1,13,7,1,1,,,40,
26077. Rawson,0. __tot__,71135,4633,40352,18558,2962,1954,2676,,73285,
26077. Rawson,1. Mujer,32582,4403,17823,7203,980,872,1301,,39346,
26077. Rawson,2. Mujer trans/travesti,60,8,28,17,3,1,3,,74,
26077. Rawson,3. Varón,37248,164,21889,10972,1908,1042,1273,,30078,
26077. Rawson,4. Varón trans/masculinidad trans,66,1,39,16,3,2,5,,56,
26077. Rawson,5. No binario,39,1,22,12,1,1,2,,52,
26077. Rawson,6. Otra identidad/ninguna de las anteriores,17,,12,5,,,,,20,
26077. Rawson,7. Prefiero no contestar,125,2,75,31,5,3,9,,110,
26077. Rawson,9. Ignorado,998,54,464,302,62,33,83,,3549,
26084. Río Senguer,0. __tot__,3284,127,2006,717,132,120,182,,3063,
26084. Río Senguer,1. Mujer,1286,118,743,267,34,52,72,,1673,
26084. Río Senguer,2. Mujer trans/travesti,1,,,1,,,,,1,
26084. Río Senguer,3. Varón,1931,8,1222,435,93,66,107,,1236,
26084. Río Senguer,4. Varón trans/masculinidad trans,3,,2,,,,1,,1,
26084. Río Senguer,5. No binario,3,,2,1,,,,,,
26084. Río Senguer,6. Otra identidad/ninguna de las anteriores,,,,,,,,,1,
26084. Río Senguer,7. Prefiero no contestar,3,,2,,1,,,,4,
26084. Río Senguer,9. Ignorado,57,1,35,13,4,2,2,,147,
26091. Sarmiento,0. __tot__,6797,402,3929,1619,277,236,334,,7680,
26091. Sarmiento,1. Mujer,2761,389,1335,685,96,89,167,,4108,
26091. Sarmiento,2. Mujer trans/travesti,7,,3,3,,,1,,9,
26091. Sarmiento,3. Varón,3907,10,2525,896,176,144,156,,3137,
26091. Sarmiento,4. Varón trans/masculinidad trans,5,,2,3,,,,,5,
26091. Sarmiento,5. No binario,6,,1,3,,,2,,2,
26091. Sarmiento,6. Otra identidad/ninguna de las anteriores,2,,,1,1,,,,,
26091. Sarmiento,7. Prefiero no contestar,11,,4,4,,,3,,13,
26091. Sarmiento,9. Ignorado,98,3,59,24,4,3,5,,406,
26098. Tehuelches,0. __tot__,3057,200,1715,747,136,108,151,,2890,
26098. Tehuelches,1. Mujer,1263,195,687,241,41,38,61,,1500,
26098. Tehuelches,2. Mujer trans/travesti,3,,3,,,,,,1,
26098. Tehuelches,3. Varón,1721,4,983,491,94,66,83,,1203,
26098. Tehuelches,4. Varón trans/masculinidad trans,,,,,,,,,2,
26098. Tehuelches,5. No binario,1,,1,,,,,,,
26098. Tehuelches,7. Prefiero no contestar,9,,4,3,,,2,,5,
26098. Tehuelches,9. Ignorado,60,1,37,12,1,4,5,,179,
26105. Telsen,0. __tot__,851,43,486,235,25,32,30,,757,
26105. Telsen,1. Mujer,338,41,222,48,8,8,11,,365,
26105. Telsen,3. Varón,485,1,248,180,16,22,18,,331,
26105. Telsen,4. Varón trans/masculinidad trans,2,,2,,,,,,1,
26105. Telsen,5. No binario,1,,1,,,,,,3,
26105. Telsen,7. Prefiero no contestar,3,,1,,,1,1,,,
26105. Telsen,9. Ignorado,22,1,12,7,1,1,,,57,
30008. Colón,0. __tot__,35540,2674,18132,10551,1765,1233,1185,,39350,
30008. Colón,1. Mujer,14783,2552,6571,4094,533,519,514,,21333,
30008. Colón,2. Mujer trans/travesti,48,4,25,15,1,3,,,74,
30008. Colón,3. Varón,20009,76,11213,6211,1194,681,634,,15089,
30008. Colón,4. Varón trans/masculinidad trans,37,,20,12,3,1,1,,46,
30008. Colón,5. No binario,19,,7,10,,2,,,25,
30008. Colón,6. Otra identidad/ninguna de las anteriores,18,2,9,5,1,1,,,22,
30008. Colón,7. Prefiero no contestar,48,2,19,18,1,1,7,,68,
30008. Colón,9. Ignorado,578,38,268,186,32,25,29,,2693,
30015. Concordia,0. __tot__,80300,6323,39823,24164,3493,2665,3832,,117303,
30015. Concordia,1. Mujer,33061,6048,13949,9228,991,1145,1700,,63192,
30015. Concordia,2. Mujer trans/travesti,98,9,46,32,6,1,4,,198,
30015. Concordia,3. Varón,45849,215,25239,14487,2429,1471,2008,,45354,
30015. Concordia,4. Varón trans/masculinidad trans,79,2,36,30,6,4,1,,185,
30015. Concordia,5. No binario,35,,20,10,1,2,2,,70,
30015. Concordia,6. Otra identidad/ninguna de las anteriores,33,2,13,10,5,2,1,,65,
30015. Concordia,7. Prefiero no contestar,116,3,42,40,8,2,21,,146,
30015. Concordia,9. Ignorado,1029,44,478,327,47,38,95,,8093,
30021. Diamante,0. __tot__,24329,2008,12067,7316,1158,852,928,,27983,
30021. Diamante,1. Mujer,10275,1909,4640,2662,305,351,408,,15368,
30021. Diamante,2. Mujer trans/travesti,25,5,11,7,,1,1,,51,
30021. Diamante,3. Varón,13713,80,7285,4560,838,480,470,,10678,
30021. Diamante,4. Varón trans/masculinidad trans,13,,5,6,,2,,,28,
30021. Diamante,5. No binario,13,2,4,4,1,2,,,27,
30021. Diamante,6. Otra identidad/ninguna de las anteriores,6,1,3,,1,1,,,12,
30021. Diamante,7. Prefiero no contestar,33,,18,11,,,4,,46,
30021. Diamante,9. Ignorado,251,11,101,66,13,15,45,,1773,
30028. Federación,0. __tot__,35691,2870,17633,9846,2285,1480,1577,,42573,
30028. Federación,1. Mujer,13984,2746,5720,3657,604,554,703,,23590,
30028. Federación,2. Mujer trans/travesti,50,4,21,23,2,,,,61,
30028. Federación,3. Varón,21101,86,11624,6017,1644,902,828,,16328,
30028. Federación,4. Varón trans/masculinidad trans,22,,13,6,1,1,1,,32,
30028. Federación,5. No binario,8,1,5,2,,,,,19,
30028. Federación,6. Otra identidad/ninguna de las anteriores,9,,2,5,2,,,,14,
30028. Federación,7. Prefiero no contestar,36,2,17,8,1,1,7,,32,
30028. Federación,9. Ignorado,481,31,231,128,31,22,38,,2497,
30035. Federal,0. __tot__,12192,1122,6227,3310,493,403,637,,17244,
30035. Federal,1. Mujer,4763,1060,2144,1003,131,149,276,,9362,
30035. Federal,2. Mujer trans/travesti,8,1,4,2,,,1,,25,
30035. Federal,3. Varón,7158,46,3948,2236,350,239,339,,6676,
30035. Federal,4. Varón trans/masculinidad trans,6,1,3,2,,,,,22,
30035. Federal,5. No binario,3,1,1,1,,,,,8,
30035. Federal,6. Otra identidad/ninguna de las anteriores,7,1,1,5,,,,,10,
30035. Federal,7. Prefiero no contestar,12,1,7,1,,,3,,11,
30035. Federal,9. Ignorado,235,11,119,60,12,15,18,,1130,
30042. Feliciano,0. __tot__,6657,638,3444,1728,248,264,335,,10060,
30042. Feliciano,1. Mujer,2587,600,1094,558,69,106,160,,5569,
30042. Feliciano,2. Mujer trans/travesti,10,,6,3,,,1,,17,
30042. Feliciano,3. Varón,3921,34,2278,1115,178,151,165,,3932,
30042. Feliciano,4. Varón trans/masculinidad trans,11,,6,4,,,1,,17,
30042. Feliciano,5. No binario,1,1,,,,,,,3,
30042. Feliciano,6. Otra identidad/ninguna de las anteriores,3,,1,2,,,,,7,
30042. Feliciano,7. Prefiero no contestar,2,,,1,,,1,,5,
30042. Feliciano,9. Ignorado,122,3,59,45,1,7,7,,510,
30049. Gualeguay,0. __tot__,25151,2452,11976,7659,1124,798,1142,,31645,
30049. Gualeguay,1. Mujer,10301,2346,4116,2692,285,336,526,,17521,
30049. Gualeguay,2. Mujer trans/travesti,31,4,12,9,3,2,1,,48,
30049. Gualeguay,3. Varón,14364,69,7647,4814,818,440,576,,12025,
30049. Gualeguay,4. Varón trans/masculinidad trans,18,,10,5,2,1,,,43,
30049. Gualeguay,5. No binario,13,2,5,4,,1,1,,18,
30049. Gualeguay,6. Otra identidad/ninguna de las anteriores,3,,2,,1,,,,18,
30049. Gualeguay,7. Prefiero no contestar,48,,20,14,3,3,8,,46,
30049. Gualeguay,9. Ignorado,373,31,164,121,12,15,30,,1926,
30056. Gualeguaychú,0. __tot__,56806,4964,26803,18113,2681,1840,2405,,68370,
30056. Gualeguaychú,1. Mujer,23866,4762,9521,6920,746,816,1101,,37250,
30056. Gualeguaychú,2. Mujer trans/travesti,62,12,20,27,,1,2,,112,
30056. Gualeguaychú,3. Varón,31845,121,16816,10835,1899,980,1194,,25901,
30056. Gualeguaychú,4. Varón trans/masculinidad trans,62,4,32,18,4,1,3,,130,
30056. Gualeguaychú,5. No binario,37,1,13,21,,1,1,,58,
30056. Gualeguaychú,6. Otra identidad/ninguna de las anteriores,14,1,5,8,,,,,43,
30056. Gualeguaychú,7. Prefiero no contestar,95,5,36,30,2,5,17,,111,
30056. Gualeguaychú,9. Ignorado,825,58,360,254,30,36,87,,4765,
30063. Islas del Ibicuy,0. __tot__,5907,376,3112,1661,196,231,331,,8077,
30063. Islas del Ibicuy,1. Mujer,2203,351,1002,559,44,93,154,,4420,
30063. Islas del Ibicuy,2. Mujer trans/travesti,6,1,3,2,,,,,12,
30063. Islas del Ibicuy,3. Varón,3628,21,2066,1087,148,134,172,,3168,
30063. Islas del Ibicuy,4. Varón trans/masculinidad trans,4,,2,2,,,,,2,
30063. Islas del Ibicuy,5. No binario,2,1,1,,,,,,4,
30063. Islas del Ibicuy,6. Otra identidad/ninguna de las anteriores,1,,,1,,,,,3,
30063. Islas del Ibicuy,7. Prefiero no contestar,5,1,4,,,,,,3,
30063. Islas del Ibicuy,9. Ignorado,58,1,34,10,4,4,5,,465,
30070. La Paz,0. __tot__,29796,2678,14203,9161,1197,1030,1527,,45475,
30070. La Paz,1. Mujer,11865,2519,5012,2970,338,373,653,,24763,
30070. La Paz,2. Mujer trans/travesti,28,5,10,9,1,,3,,67,
30070. La Paz,3. Varón,17402,119,8942,6043,832,638,828,,17688,
30070. La Paz,4. Varón trans/masculinidad trans,12,2,3,3,2,2,,,35,
30070. La Paz,5. No binario,13,1,5,6,,,1,,16,
30070. La Paz,6. Otra identidad/ninguna de las anteriores,6,,2,2,,2,,,13,
30070. La Paz,7. Prefiero no contestar,30,,11,8,4,1,6,,32,
30070. La Paz,9. Ignorado,440,32,218,120,20,14,36,,2861,
30077. Nogoyá,0. __tot__,19203,1852,8952,5924,859,791,825,,23751,
30077. Nogoyá,1. Mujer,7847,1786,3175,2005,202,309,370,,12678,
30077. Nogoyá,2. Mujer trans/travesti,36,2,15,12,3,1,3,,69,
30077. Nogoyá,3. Varón,10873,50,5555,3756,628,458,426,,8960,
30077. Nogoyá,4. Varón trans/masculinidad trans,32,,17,13,1,,1,,108,
30077. Nogoyá,5. No binario,4,,1,3,,,,,31,
30077. Nogoyá,6. Otra identidad/ninguna de las anteriores,6,,3,3,,,,,21,
30077. Nogoyá,7. Prefiero no contestar,29,4,9,7,,2,7,,29,
30077. Nogoyá,9. Ignorado,376,10,177,125,25,21,18,,1855,
30084. Paraná,0. __tot__,182222,14820,92923,54248,7417,5079,7735,,206494,
30084. Paraná,1. Mujer,81743,14145,38241,21260,2279,2208,3610,,110767,
30084. Paraná,2. Mujer trans/travesti,171,23,73,56,5,4,10,,282,
30084. Paraná,3. Varón,97395,501,53311,32004,4995,2773,3811,,79922,
30084. Paraná,4. Varón trans/masculinidad trans,173,8,71,58,13,10,13,,327,
30084. Paraná,5. No binario,137,6,63,57,4,2,5,,192,
30084. Paraná,6. Otra identidad/ninguna de las anteriores,88,6,45,26,3,1,7,,218,
30084. Paraná,7. Prefiero no contestar,358,11,170,121,8,11,37,,367,
30084. Paraná,9. Ignorado,2157,120,949,666,110,70,242,,14419,
30088. San Salvador,0. __tot__,8892,825,4135,2607,525,382,418,,11894,
30088. San Salvador,1. Mujer,3486,794,1320,937,117,155,163,,6437,
30088. San Salvador,2. Mujer trans/travesti,8,1,4,2,1,,,,25,
30088. San Salvador,3. Varón,5210,24,2734,1594,393,219,246,,4502,
30088. San Salvador,4. Varón trans/masculinidad trans,7,,4,1,,2,,,17,
30088. San Salvador,5. No binario,4,,3,1,,,,,5,
30088. San Salvador,6. Otra identidad/ninguna de las anteriores,2,,1,1,,,,,9,
30088. San Salvador,7. Prefiero no contestar,16,1,8,4,,,3,,13,
30088. San Salvador,9. Ignorado,159,5,61,67,14,6,6,,886,
30091. Tala,0. __tot__,13732,1486,6026,4457,576,537,650,,17359,
30091. Tala,1. Mujer,5659,1419,2184,1432,153,211,260,,9381,
30091. Tala,2. Mujer trans/travesti,22,1,7,8,2,3,1,,57,
30091. Tala,3. Varón,7750,48,3726,2913,399,303,361,,6421,
30091. Tala,4. Varón trans/masculinidad trans,21,1,10,7,1,1,1,,95,
30091. Tala,5. No binario,7,1,3,3,,,,,23,
30091. Tala,6. Otra identidad/ninguna de las anteriores,6,1,,3,,2,,,16,
30091. Tala,7. Prefiero no contestar,25,2,9,9,1,3,1,,31,
30091. Tala,9. Ignorado,242,13,87,82,20,14,26,,1335,
30098. Uruguay,0. __tot__,52600,4407,26326,15690,2471,1703,2003,,62916,
30098. Uruguay,1. Mujer,22355,4225,9587,6214,692,757,880,,34202,
30098. Uruguay,2. Mujer trans/travesti,45,6,17,14,3,2,3,,95,
30098. Uruguay,3. Varón,29367,147,16336,9214,1745,902,1023,,24008,
30098. Uruguay,4. Varón trans/masculinidad trans,36,2,16,14,1,,3,,97,
30098. Uruguay,5. No binario,27,3,10,10,1,2,1,,39,
30098. Uruguay,6. Otra identidad/ninguna de las anteriores,15,1,9,3,,1,1,,26,
30098. Uruguay,7. Prefiero no contestar,80,2,36,22,4,3,13,,95,
30098. Uruguay,9. Ignorado,675,21,315,199,25,36,79,,4354,
30105. Victoria,0. __tot__,18601,1701,8679,6057,762,617,785,,21700,
30105. Victoria,1. Mujer,7766,1629,3280,2062,200,254,341,,11903,
30105. Victoria,2. Mujer trans/travesti,23,1,10,9,,,3,,24,
30105. Victoria,3. Varón,10520,56,5264,3887,547,353,413,,8439,
30105. Victoria,4. Varón trans/masculinidad trans,16,,9,5,1,,1,,16,
30105. Victoria,5. No binario,5,,2,2,1,,,,13,
30105. Victoria,6. Otra identidad/ninguna de las anteriores,3,,2,1,,,,,5,
30105. Victoria,7. Prefiero no contestar,27,1,12,7,2,,5,,41,
30105. Victoria,9. Ignorado,241,14,100,84,11,10,22,,1259,
30113. Villaguay,0. __tot__,23242,2343,10963,6812,1047,857,1220,,32042,
30113. Villaguay,1. Mujer,9136,2253,3493,2301,283,303,503,,17277,
30113. Villaguay,2. Mujer trans/travesti,42,5,17,15,2,3,,,81,
30113. Villaguay,3. Varón,13354,51,7104,4282,724,519,674,,12061,
30113. Villaguay,4. Varón trans/masculinidad trans,31,,18,12,1,,,,70,
30113. Villaguay,5. No binario,18,1,12,4,1,,,,34,
30113. Villaguay,6. Otra identidad/ninguna de las anteriores,11,,5,4,1,1,,,21,
30113. Villaguay,7. Prefiero no contestar,22,2,3,9,1,2,5,,45,
30113. Villaguay,9. Ignorado,628,31,311,185,34,29,38,,2453,
34007. Bermejo,0. __tot__,5067,410,1806,2131,109,237,374,,10533,
34007. Bermejo,1. Mujer,1770,361,596,557,25,55,176,,5413,
34007. Bermejo,2. Mujer trans/travesti,2,,1,1,,,,,10,
34007. Bermejo,3. Varón,3169,44,1159,1523,78,171,194,,4581,
34007. Bermejo,4. Varón trans/masculinidad trans,7,,2,2,2,1,,,16,
34007. Bermejo,5. No binario,1,,,1,,,,,2,
34007. Bermejo,6. Otra identidad/ninguna de las anteriores,2,,,1,,1,,,4,
34007. Bermejo,7. Prefiero no contestar,4,,2,,1,1,,,6,
