DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
14161. Tercero Arriba,0. __tot__,120207,57816,152,53695,148,33,35,159,8169,,,
14161. Tercero Arriba,1. Urbana,110175,53225,140,48911,140,30,33,151,7545,,,
14161. Tercero Arriba,2. Rural agrupada,7153,3409,9,3335,6,3,2,6,383,,,
14161. Tercero Arriba,3. Rural dispersa,2879,1182,3,1449,2,,,2,241,,,
14168. Totoral,0. __tot__,22473,10346,24,10219,22,9,8,14,1831,,,
14168. Totoral,1. Urbana,13301,6356,18,6056,15,6,2,10,838,,,
14168. Totoral,2. Rural agrupada,6734,3065,4,3036,4,2,1,3,619,,,
14168. Totoral,3. Rural dispersa,2438,925,2,1127,3,1,5,1,374,,,
14175. Tulumba,0. __tot__,14092,6474,24,6421,15,4,2,11,1141,,,
14175. Tulumba,1. Urbana,5727,2724,16,2522,6,4,1,6,448,,,
14175. Tulumba,2. Rural agrupada,5788,2726,7,2629,3,,1,5,417,,,
14175. Tulumba,3. Rural dispersa,2577,1024,1,1270,6,,,,276,,,
14182. Unión,0. __tot__,113635,54638,134,52943,109,23,27,81,5680,,,
14182. Unión,1. Urbana,93415,45387,116,42976,79,19,16,70,4752,,,
14182. Unión,2. Rural agrupada,15177,7158,16,7308,21,4,8,8,654,,,
14182. Unión,3. Rural dispersa,5043,2093,2,2659,9,,3,3,274,,,
18007. Bella Vista,0. __tot__,44369,21452,69,20930,45,10,18,56,1789,,,
18007. Bella Vista,1. Urbana,35546,17452,51,16504,34,9,12,38,1446,,,
18007. Bella Vista,2. Rural agrupada,86,34,,41,,,,,11,,,
18007. Bella Vista,3. Rural dispersa,8737,3966,18,4385,11,1,6,18,332,,,
18014. Berón de Astrada,0. __tot__,2808,1314,4,1346,8,1,1,4,130,,,
18014. Berón de Astrada,2. Rural agrupada,2311,1109,4,1086,3,,,2,107,,,
18014. Berón de Astrada,3. Rural dispersa,497,205,,260,5,1,1,2,23,,,
18021. Capital,0. __tot__,437446,210557,650,192414,1388,498,368,668,30903,,,
18021. Capital,1. Urbana,432407,208309,639,190174,1358,495,363,659,30410,,,
18021. Capital,2. Rural agrupada,1456,660,2,605,10,,1,6,172,,,
18021. Capital,3. Rural dispersa,3583,1588,9,1635,20,3,4,3,321,,,
18028. Concepción,0. __tot__,26270,12215,46,12391,48,18,30,28,1494,,,
18028. Concepción,1. Urbana,18291,8482,33,8554,37,11,20,19,1135,,,
18028. Concepción,2. Rural agrupada,1350,679,3,606,,,3,,59,,,
18028. Concepción,3. Rural dispersa,6629,3054,10,3231,11,7,7,9,300,,,
18035. Curuzú Cuatiá,0. __tot__,51489,24821,65,23400,82,34,31,51,3005,,,
18035. Curuzú Cuatiá,1. Urbana,45386,22294,51,20524,65,13,17,44,2378,,,
18035. Curuzú Cuatiá,2. Rural agrupada,637,256,1,289,,2,4,,85,,,
18035. Curuzú Cuatiá,3. Rural dispersa,5466,2271,13,2587,17,19,10,7,542,,,
18042. Empedrado,0. __tot__,17948,8587,20,8411,23,9,8,7,883,,,
18042. Empedrado,1. Urbana,11283,5502,14,5175,17,8,5,6,556,,,
18042. Empedrado,2. Rural agrupada,1062,497,,498,,,,,67,,,
18042. Empedrado,3. Rural dispersa,5603,2588,6,2738,6,1,3,1,260,,,
18049. Esquina,0. __tot__,39168,17596,63,16548,156,34,53,71,4647,,,
18049. Esquina,1. Urbana,30464,13891,45,12646,117,30,47,45,3643,,,
18049. Esquina,2. Rural agrupada,25,11,,13,,,,,1,,,
18049. Esquina,3. Rural dispersa,8679,3694,18,3889,39,4,6,26,1003,,,
18056. General Alvear,0. __tot__,9051,4182,12,4178,22,17,8,29,603,,,
18056. General Alvear,1. Urbana,7965,3788,10,3528,21,17,8,27,566,,,
18056. General Alvear,2. Rural agrupada,152,74,2,68,,,,2,6,,,
18056. General Alvear,3. Rural dispersa,934,320,,582,1,,,,31,,,
18063. General Paz,0. __tot__,17016,8097,33,7879,32,7,10,15,943,,,
18063. General Paz,1. Urbana,10881,5324,16,4880,14,4,6,7,630,,,
18063. General Paz,2. Rural agrupada,1375,667,4,637,7,1,1,1,57,,,
18063. General Paz,3. Rural dispersa,4760,2106,13,2362,11,2,3,7,256,,,
18070. Goya,0. __tot__,106223,51443,167,47698,183,82,73,132,6445,,,
18070. Goya,1. Urbana,88949,43504,140,39554,136,73,61,110,5371,,,
18070. Goya,2. Rural agrupada,1832,896,1,834,2,1,,5,93,,,
18070. Goya,3. Rural dispersa,15442,7043,26,7310,45,8,12,17,981,,,
18077. Itatí,0. __tot__,11946,5755,12,5698,7,2,4,5,463,,,
18077. Itatí,1. Urbana,8661,4185,9,4068,6,2,2,4,385,,,
18077. Itatí,2. Rural agrupada,1230,592,2,615,,,1,,20,,,
18077. Itatí,3. Rural dispersa,2055,978,1,1015,1,,1,1,58,,,
18084. Ituzaingó,0. __tot__,38767,18430,57,18073,47,15,31,54,2060,,,
18084. Ituzaingó,1. Urbana,32064,15440,52,14778,39,9,30,51,1665,,,
18084. Ituzaingó,2. Rural agrupada,2791,1284,,1290,8,4,1,1,203,,,
18084. Ituzaingó,3. Rural dispersa,3912,1706,5,2005,,2,,2,192,,,
18091. Lavalle,0. __tot__,40406,18257,89,18267,175,74,79,87,3378,,,
18091. Lavalle,1. Urbana,23967,10899,58,10419,122,57,57,59,2296,,,
18091. Lavalle,2. Rural agrupada,3208,1454,3,1533,6,6,2,6,198,,,
18091. Lavalle,3. Rural dispersa,13231,5904,28,6315,47,11,20,22,884,,,
18098. Mburucuyá,0. __tot__,11541,5586,14,5417,8,6,6,10,494,,,
18098. Mburucuyá,1. Urbana,9205,4448,13,4248,7,6,6,9,468,,,
18098. Mburucuyá,3. Rural dispersa,2336,1138,1,1169,1,,,1,26,,,
18105. Mercedes,0. __tot__,49807,23352,60,22549,117,42,39,60,3588,,,
18105. Mercedes,1. Urbana,46555,22214,46,20991,83,37,37,53,3094,,,
18105. Mercedes,3. Rural dispersa,3252,1138,14,1558,34,5,2,7,494,,,
18112. Monte Caseros,0. __tot__,45602,21134,94,20526,250,86,53,53,3406,,,
18112. Monte Caseros,1. Urbana,40257,18812,88,17821,236,84,48,49,3119,,,
18112. Monte Caseros,2. Rural agrupada,1672,784,1,818,4,,1,1,63,,,
18112. Monte Caseros,3. Rural dispersa,3673,1538,5,1887,10,2,4,3,224,,,
18119. Paso de los Libres,0. __tot__,56778,27624,107,25719,99,51,46,72,3060,,,
18119. Paso de los Libres,1. Urbana,51442,25128,102,23115,91,47,44,67,2848,,,
18119. Paso de los Libres,2. Rural agrupada,2372,1111,4,1174,3,1,,1,78,,,
18119. Paso de los Libres,3. Rural dispersa,2964,1385,1,1430,5,3,2,4,134,,,
18126. Saladas,0. __tot__,29126,13155,63,12647,124,127,91,70,2849,,,
18126. Saladas,1. Urbana,23662,10684,53,10154,108,105,80,61,2417,,,
18126. Saladas,2. Rural agrupada,855,422,1,393,,,,3,36,,,
18126. Saladas,3. Rural dispersa,4609,2049,9,2100,16,22,11,6,396,,,
18133. San Cosme,0. __tot__,19679,9083,22,9269,24,11,14,21,1235,,,
18133. San Cosme,1. Urbana,14872,6878,14,6893,20,11,13,15,1028,,,
18133. San Cosme,2. Rural agrupada,293,143,1,134,,,,1,14,,,
18133. San Cosme,3. Rural dispersa,4514,2062,7,2242,4,,1,5,193,,,
18140. San Luis del Palmar,0. __tot__,21381,10067,49,9518,81,27,24,31,1584,,,
18140. San Luis del Palmar,1. Urbana,16988,8072,45,7286,77,24,24,30,1430,,,
18140. San Luis del Palmar,3. Rural dispersa,4393,1995,4,2232,4,3,,1,154,,,
18147. San Martín,0. __tot__,15164,7330,19,6919,25,7,11,17,836,,,
18147. San Martín,1. Urbana,11056,5426,11,4919,17,5,11,15,652,,,
18147. San Martín,2. Rural agrupada,1945,920,1,903,4,2,,1,114,,,
18147. San Martín,3. Rural dispersa,2163,984,7,1097,4,,,1,70,,,
18154. San Miguel,0. __tot__,12700,5954,22,5892,29,7,15,12,769,,,
18154. San Miguel,1. Urbana,8084,3885,10,3732,8,3,10,8,428,,,
18154. San Miguel,2. Rural agrupada,586,268,2,256,5,,1,,54,,,
18154. San Miguel,3. Rural dispersa,4030,1801,10,1904,16,4,4,4,287,,,
18161. San Roque,0. __tot__,22682,10615,36,10492,39,16,19,32,1433,,,
18161. San Roque,1. Urbana,15700,7406,25,7117,31,7,13,27,1074,,,
18161. San Roque,2. Rural agrupada,2574,1211,4,1159,2,3,2,2,191,,,
18161. San Roque,3. Rural dispersa,4408,1998,7,2216,6,6,4,3,168,,,
18168. Santo Tomé,0. __tot__,71922,34700,74,33030,110,78,40,62,3828,,,
18168. Santo Tomé,1. Urbana,63993,31161,62,29128,97,69,31,55,3390,,,
18168. Santo Tomé,2. Rural agrupada,2036,921,,990,3,1,6,2,113,,,
18168. Santo Tomé,3. Rural dispersa,5893,2618,12,2912,10,8,3,5,325,,,
18175. Sauce,0. __tot__,10382,4963,18,4853,21,4,6,7,510,,,
18175. Sauce,1. Urbana,8550,4198,12,3852,18,4,6,7,453,,,
18175. Sauce,3. Rural dispersa,1832,765,6,1001,3,,,,57,,,
22007. Almirante Brown,0. __tot__,37794,18401,45,18151,32,2,1,15,1147,,,
22007. Almirante Brown,1. Urbana,34174,16850,45,16214,30,2,1,14,1018,,,
22007. Almirante Brown,2. Rural agrupada,1208,589,,598,1,,,,20,,,
22007. Almirante Brown,3. Rural dispersa,2412,962,,1339,1,,,1,109,,,
22014. Bermejo,0. __tot__,28060,13569,44,13161,16,6,2,29,1233,,,
22014. Bermejo,1. Urbana,21779,10773,32,10136,14,4,2,20,798,,,
22014. Bermejo,2. Rural agrupada,2528,1207,4,1170,1,,,8,138,,,
22014. Bermejo,3. Rural dispersa,3753,1589,8,1855,1,2,,1,297,,,
22021. Comandante Fernández,0. __tot__,101086,50894,88,46230,53,31,12,74,3704,,,
22021. Comandante Fernández,1. Urbana,96866,48950,84,44087,51,31,10,73,3580,,,
22021. Comandante Fernández,3. Rural dispersa,4220,1944,4,2143,2,,2,1,124,,,
22028. Chacabuco,0. __tot__,34493,16966,59,16138,24,3,3,22,1278,,,
22028. Chacabuco,1. Urbana,30968,15366,54,14325,21,3,3,19,1177,,,
22028. Chacabuco,3. Rural dispersa,3525,1600,5,1813,3,,,3,101,,,
22036. 12 de Octubre,0. __tot__,23179,11218,28,11052,19,2,1,12,847,,,
22036. 12 de Octubre,1. Urbana,20495,10019,24,9649,17,2,1,12,771,,,
22036. 12 de Octubre,2. Rural agrupada,1070,515,2,543,1,,,,9,,,
22036. 12 de Octubre,3. Rural dispersa,1614,684,2,860,1,,,,67,,,
22039. 2 de Abril,0. __tot__,8310,4055,6,3991,4,,2,5,247,,,
22039. 2 de Abril,1. Urbana,6708,3334,3,3174,4,,2,3,188,,,
22039. 2 de Abril,2. Rural agrupada,617,300,,291,,,,,26,,,
22039. 2 de Abril,3. Rural dispersa,985,421,3,526,,,,2,33,,,
22043. Fray Justo Santa María de Oro,0. __tot__,10643,5082,15,5100,5,1,2,8,430,,,
22043. Fray Justo Santa María de Oro,1. Urbana,8367,4105,13,3949,4,1,1,8,286,,,
22043. Fray Justo Santa María de Oro,2. Rural agrupada,1039,489,2,469,,,1,,78,,,
22043. Fray Justo Santa María de Oro,3. Rural dispersa,1237,488,,682,1,,,,66,,,
22049. General Belgrano,0. __tot__,12807,6235,14,6128,3,,1,85,341,,,
22049. General Belgrano,1. Urbana,11915,5862,13,5637,2,,,85,316,,,
22049. General Belgrano,3. Rural dispersa,892,373,1,491,1,,1,,25,,,
22056. General Donovan,0. __tot__,15061,7226,28,7117,5,2,3,13,667,,,
22056. General Donovan,1. Urbana,12606,6088,25,5943,4,2,2,8,534,,,
22056. General Donovan,2. Rural agrupada,1106,556,1,510,,,,,39,,,
22056. General Donovan,3. Rural dispersa,1349,582,2,664,1,,1,5,94,,,
22063. General Güemes,0. __tot__,68429,33223,77,32406,29,7,3,33,2651,,,
22063. General Güemes,1. Urbana,48233,23976,57,22407,19,6,2,29,1737,,,
22063. General Güemes,2. Rural agrupada,9671,4578,9,4621,5,,1,4,453,,,
22063. General Güemes,3. Rural dispersa,10525,4669,11,5378,5,1,,,461,,,
22070. Independencia,0. __tot__,21948,10894,26,10249,18,1,2,5,753,,,
22070. Independencia,1. Urbana,20251,10146,24,9367,17,,2,5,690,,,
22070. Independencia,2. Rural agrupada,196,93,1,102,,,,,,,,
22070. Independencia,3. Rural dispersa,1501,655,1,780,1,1,,,63,,,
22077. Libertad,0. __tot__,13775,6595,9,6385,12,7,2,12,753,,,
22077. Libertad,1. Urbana,10841,5323,8,4998,10,6,2,10,484,,,
22077. Libertad,2. Rural agrupada,1192,558,,593,,1,,,40,,,
22077. Libertad,3. Rural dispersa,1742,714,1,794,2,,,2,229,,,
22084. Libertador General San Martín,0. __tot__,65304,31723,66,30907,19,9,7,53,2520,,,
22084. Libertador General San Martín,1. Urbana,52928,26027,50,24778,16,9,5,40,2003,,,
22084. Libertador General San Martín,2. Rural agrupada,5335,2616,3,2546,3,,,3,164,,,
22084. Libertador General San Martín,3. Rural dispersa,7041,3080,13,3583,,,2,10,353,,,
22091. Maipú,0. __tot__,26354,12905,28,12552,13,1,1,6,848,,,
22091. Maipú,1. Urbana,21170,10617,19,9847,10,1,1,6,669,,,
22091. Maipú,2. Rural agrupada,607,283,2,304,,,,,18,,,
22091. Maipú,3. Rural dispersa,4577,2005,7,2401,3,,,,161,,,
22098. Mayor Luis J. Fontana,0. __tot__,59798,29814,71,27639,39,6,15,51,2163,,,
22098. Mayor Luis J. Fontana,1. Urbana,55527,27896,64,25504,38,4,14,50,1957,,,
22098. Mayor Luis J. Fontana,2. Rural agrupada,1591,726,2,730,1,,1,1,130,,,
22098. Mayor Luis J. Fontana,3. Rural dispersa,2680,1192,5,1405,,2,,,76,,,
22105. 9 de Julio,0. __tot__,30223,14830,33,14074,28,11,7,22,1218,,,
22105. 9 de Julio,1. Urbana,27002,13395,29,12410,23,10,7,21,1107,,,
22105. 9 de Julio,2. Rural agrupada,188,78,,86,2,1,,1,20,,,
22105. 9 de Julio,3. Rural dispersa,3033,1357,4,1578,3,,,,91,,,
22112. O'Higgins,0. __tot__,21544,10579,26,10262,12,1,1,3,660,,,
22112. O'Higgins,1. Urbana,19362,9579,18,9166,8,1,,3,587,,,
22112. O'Higgins,3. Rural dispersa,2182,1000,8,1096,4,,1,,73,,,
22119. Presidencia de la Plaza,0. __tot__,13938,6893,26,6529,9,2,,4,475,,,
22119. Presidencia de la Plaza,1. Urbana,12296,6127,25,5688,7,2,,4,443,,,
22119. Presidencia de la Plaza,3. Rural dispersa,1642,766,1,841,2,,,,32,,,
22126. 1º de Mayo,0. __tot__,14265,6862,17,6806,6,1,3,14,556,,,
22126. 1º de Mayo,1. Urbana,11365,5503,13,5333,3,1,1,12,499,,,
22126. 1º de Mayo,2. Rural agrupada,1306,630,2,650,2,,2,1,19,,,
22126. 1º de Mayo,3. Rural dispersa,1594,729,2,823,1,,,1,38,,,
22133. Quitilipi,0. __tot__,32430,15731,36,15052,9,3,3,21,1575,,,
22133. Quitilipi,1. Urbana,27349,13430,29,12490,9,3,3,17,1368,,,
22133. Quitilipi,2. Rural agrupada,1086,531,4,517,,,,2,32,,,
22133. Quitilipi,3. Rural dispersa,3995,1770,3,2045,,,,2,175,,,
22140. San Fernando,0. __tot__,413764,206681,450,187462,264,167,88,479,18173,,,
22140. San Fernando,1. Urbana,409912,204924,447,185569,255,167,88,478,17984,,,
22140. San Fernando,2. Rural agrupada,876,419,,415,7,,,,35,,,
22140. San Fernando,3. Rural dispersa,2976,1338,3,1478,2,,,1,154,,,
22147. San Lorenzo,0. __tot__,16045,7853,9,7518,7,4,13,7,634,,,
22147. San Lorenzo,1. Urbana,13157,6500,7,6095,6,4,13,7,525,,,
22147. San Lorenzo,2. Rural agrupada,1362,689,1,653,1,,,,18,,,
22147. San Lorenzo,3. Rural dispersa,1526,664,1,770,,,,,91,,,
22154. Sargento Cabral,0. __tot__,18696,8962,20,8772,10,1,1,9,921,,,
22154. Sargento Cabral,1. Urbana,15520,7545,13,7136,7,1,1,7,810,,,
22154. Sargento Cabral,2. Rural agrupada,261,122,,134,,,,,5,,,
22154. Sargento Cabral,3. Rural dispersa,2915,1295,7,1502,3,,,2,106,,,
22161. Tapenagá,0. __tot__,4051,1909,4,1954,3,,5,1,175,,,
22161. Tapenagá,2. Rural agrupada,3415,1682,2,1568,3,,5,1,154,,,
22161. Tapenagá,3. Rural dispersa,636,227,2,386,,,,,21,,,
22168. 25 de Mayo,0. __tot__,32606,15732,51,15532,13,7,3,8,1260,,,
22168. 25 de Mayo,1. Urbana,27653,13500,45,12959,12,7,3,8,1119,,,
22168. 25 de Mayo,2. Rural agrupada,1333,615,,662,1,,,,55,,,
22168. 25 de Mayo,3. Rural dispersa,3620,1617,6,1911,,,,,86,,,
26007. Biedma,0. __tot__,102806,49328,130,48113,122,110,89,177,4737,,,
26007. Biedma,1. Urbana,101280,48646,130,47314,121,107,88,171,4703,,,
26007. Biedma,2. Rural agrupada,1310,599,,670,1,1,1,6,32,,,
26007. Biedma,3. Rural dispersa,216,83,,129,,2,,,2,,,
26014. Cushamen,0. __tot__,28099,13545,38,13398,19,57,27,106,909,,,
26014. Cushamen,1. Urbana,19231,9344,31,8989,9,50,21,84,703,,,
26014. Cushamen,2. Rural agrupada,5407,2722,2,2566,3,1,2,17,94,,,
26014. Cushamen,3. Rural dispersa,3461,1479,5,1843,7,6,4,5,112,,,
26021. Escalante,0. __tot__,214829,104871,193,101751,203,94,48,273,7396,,,
26021. Escalante,1. Urbana,212850,103912,192,100762,201,93,48,273,7369,,,
26021. Escalante,2. Rural agrupada,1822,900,1,891,2,1,,,27,,,
26021. Escalante,3. Rural dispersa,157,59,,98,,,,,,,,
26028. Florentino Ameghino,0. __tot__,1782,812,,895,,1,1,1,72,,,
26028. Florentino Ameghino,2. Rural agrupada,1659,791,,796,,,1,1,70,,,
26028. Florentino Ameghino,3. Rural dispersa,123,21,,99,,1,,,2,,,
26035. Futaleufú,0. __tot__,49965,25119,38,23202,25,44,18,106,1413,,,
26035. Futaleufú,1. Urbana,45455,23005,32,20936,25,39,17,98,1303,,,
26035. Futaleufú,2. Rural agrupada,2634,1266,3,1285,,2,,5,73,,,
26035. Futaleufú,3. Rural dispersa,1876,848,3,981,,3,1,3,37,,,
26042. Gaiman,0. __tot__,12505,6048,9,5996,12,2,3,28,407,,,
26042. Gaiman,1. Urbana,9914,4872,5,4627,9,2,1,25,373,,,
26042. Gaiman,2. Rural agrupada,416,198,1,217,,,,,,,,
26042. Gaiman,3. Rural dispersa,2175,978,3,1152,3,,2,3,34,,,
26049. Gastre,0. __tot__,1181,489,,642,2,,,,48,,,
26049. Gastre,2. Rural agrupada,911,434,,449,1,,,,27,,,
26049. Gastre,3. Rural dispersa,270,55,,193,1,,,,21,,,
26056. Languiñeo,0. __tot__,2862,1320,4,1462,,1,,4,71,,,
26056. Languiñeo,2. Rural agrupada,2464,1182,4,1205,,1,,4,68,,,
26056. Languiñeo,3. Rural dispersa,398,138,,257,,,,,3,,,
26063. Mártires,0. __tot__,744,307,,402,1,,,1,33,,,
26063. Mártires,2. Rural agrupada,618,282,,305,1,,,1,29,,,
26063. Mártires,3. Rural dispersa,126,25,,97,,,,,4,,,
26070. Paso de Indios,0. __tot__,1882,832,1,986,,,,,63,,,
26070. Paso de Indios,2. Rural agrupada,1610,766,1,786,,,,,57,,,
26070. Paso de Indios,3. Rural dispersa,272,66,,200,,,,,6,,,
26077. Rawson,0. __tot__,144420,71928,134,67326,122,91,37,235,4547,,,
26077. Rawson,1. Urbana,142260,70933,131,66210,121,91,37,226,4511,,,
26077. Rawson,2. Rural agrupada,464,208,,248,1,,,2,5,,,
26077. Rawson,3. Rural dispersa,1696,787,3,868,,,,7,31,,,
26084. Río Senguer,0. __tot__,6347,2959,2,3167,4,3,1,7,204,,,
26084. Río Senguer,1. Urbana,3164,1586,1,1502,,1,1,5,68,,,
26084. Río Senguer,2. Rural agrupada,2627,1230,1,1267,4,2,,2,121,,,
26084. Río Senguer,3. Rural dispersa,556,143,,398,,,,,15,,,
26091. Sarmiento,0. __tot__,14477,6869,16,7044,10,8,2,24,504,,,
26091. Sarmiento,1. Urbana,13892,6638,16,6707,9,6,2,24,490,,,
26091. Sarmiento,2. Rural agrupada,88,37,,39,,1,,,11,,,
26091. Sarmiento,3. Rural dispersa,497,194,,298,1,1,,,3,,,
26098. Tehuelches,0. __tot__,5947,2763,4,2924,2,1,,14,239,,,
26098. Tehuelches,1. Urbana,2600,1224,1,1230,1,,,2,142,,,
26098. Tehuelches,2. Rural agrupada,2926,1420,2,1409,1,1,,12,81,,,
26098. Tehuelches,3. Rural dispersa,421,119,1,285,,,,,16,,,
26105. Telsen,0. __tot__,1608,703,,816,3,4,,3,79,,,
26105. Telsen,2. Rural agrupada,1330,619,,638,2,4,,2,65,,,
26105. Telsen,3. Rural dispersa,278,84,,178,1,,,1,14,,,
30008. Colón,0. __tot__,74890,36116,122,35098,83,44,40,116,3271,,,
30008. Colón,1. Urbana,62115,30254,95,28779,71,35,34,94,2753,,,
30008. Colón,2. Rural agrupada,3220,1540,3,1528,5,3,,3,138,,,
30008. Colón,3. Rural dispersa,9555,4322,24,4791,7,6,6,19,380,,,
30015. Concordia,0. __tot__,197603,96253,296,91203,264,105,98,262,9122,,,
30015. Concordia,1. Urbana,183312,89641,262,84034,243,98,87,249,8698,,,
30015. Concordia,2. Rural agrupada,8690,4063,15,4268,16,6,10,10,302,,,
30015. Concordia,3. Rural dispersa,5601,2549,19,2901,5,1,1,3,122,,,
30021. Diamante,0. __tot__,52312,25643,76,24391,41,40,18,79,2024,,,
30021. Diamante,1. Urbana,42154,20912,54,19355,27,30,11,56,1709,,,
30021. Diamante,2. Rural agrupada,5397,2579,5,2626,5,1,5,11,165,,,
30021. Diamante,3. Rural dispersa,4761,2152,17,2410,9,9,2,12,150,,,
30028. Federación,0. __tot__,78264,37574,111,37429,54,27,23,68,2978,,,
30028. Federación,1. Urbana,66795,32406,89,31611,47,25,21,64,2532,,,
30028. Federación,2. Rural agrupada,3961,1851,4,1960,2,1,1,2,140,,,
30028. Federación,3. Rural dispersa,7508,3317,18,3858,5,1,1,2,306,,,
30035. Federal,0. __tot__,29436,14125,33,13834,28,11,17,23,1365,,,
30035. Federal,1. Urbana,22746,11070,21,10478,20,8,15,20,1114,,,
30035. Federal,2. Rural agrupada,2759,1358,5,1301,2,2,1,2,88,,,
30035. Federal,3. Rural dispersa,3931,1697,7,2055,6,1,1,1,163,,,
30042. Feliciano,0. __tot__,16717,8156,27,7853,28,4,10,7,632,,,
30042. Feliciano,1. Urbana,12049,6006,18,5466,19,4,9,3,524,,,
30042. Feliciano,2. Rural agrupada,310,152,2,145,1,,,,10,,,
30042. Feliciano,3. Rural dispersa,4358,1998,7,2242,8,,1,4,98,,,
30049. Gualeguay,0. __tot__,56796,27822,79,26389,61,31,21,94,2299,,,
30049. Gualeguay,1. Urbana,49421,24453,63,22735,48,26,20,84,1992,,,
30049. Gualeguay,2. Rural agrupada,916,436,,472,,,,1,7,,,
30049. Gualeguay,3. Rural dispersa,6459,2933,16,3182,13,5,1,9,300,,,
30056. Gualeguaychú,0. __tot__,125176,61116,174,57746,192,95,57,206,5590,,,
30056. Gualeguaychú,1. Urbana,115258,56552,154,52893,161,86,50,186,5176,,,
30056. Gualeguaychú,2. Rural agrupada,4287,2083,6,2018,13,6,4,10,147,,,
30056. Gualeguaychú,3. Rural dispersa,5631,2481,14,2835,18,3,3,10,267,,,
30063. Islas del Ibicuy,0. __tot__,13984,6623,18,6796,6,6,4,8,523,,,
30063. Islas del Ibicuy,1. Urbana,10023,4840,10,4796,4,5,4,3,361,,,
30063. Islas del Ibicuy,2. Rural agrupada,794,359,2,411,,,,,22,,,
30063. Islas del Ibicuy,3. Rural dispersa,3167,1424,6,1589,2,1,,5,140,,,
30070. La Paz,0. __tot__,75271,36628,95,35090,47,29,19,62,3301,,,
30070. La Paz,1. Urbana,60508,29735,87,27760,38,23,11,47,2807,,,
30070. La Paz,2. Rural agrupada,5903,2859,2,2830,3,1,3,7,198,,,
30070. La Paz,3. Rural dispersa,8860,4034,6,4500,6,5,5,8,296,,,
30077. Nogoyá,0. __tot__,42954,20525,105,19833,140,35,27,58,2231,,,
30077. Nogoyá,1. Urbana,31462,15279,75,14162,118,28,23,42,1735,,,
30077. Nogoyá,2. Rural agrupada,4892,2378,4,2350,10,2,2,6,140,,,
30077. Nogoyá,3. Rural dispersa,6600,2868,26,3321,12,5,2,10,356,,,
30084. Paraná,0. __tot__,388716,192510,453,177317,500,329,306,725,16576,,,
30084. Paraná,1. Urbana,366960,182499,420,166471,472,312,293,692,15801,,,
30084. Paraná,2. Rural agrupada,11193,5197,18,5405,18,11,10,26,508,,,
30084. Paraná,3. Rural dispersa,10563,4814,15,5441,10,6,3,7,267,,,
30088. San Salvador,0. __tot__,20786,9923,33,9712,24,9,11,29,1045,,,
30088. San Salvador,1. Urbana,18926,9086,31,8769,24,9,10,29,968,,,
30088. San Salvador,3. Rural dispersa,1860,837,2,943,,,1,,77,,,
30091. Tala,0. __tot__,31091,15040,79,14171,116,30,22,56,1577,,,
30091. Tala,1. Urbana,26474,13013,75,11842,99,22,19,45,1359,,,
30091. Tala,2. Rural agrupada,1607,701,1,813,7,4,2,4,75,,,
30091. Tala,3. Rural dispersa,3010,1326,3,1516,10,4,1,7,143,,,
30098. Uruguay,0. __tot__,115516,56557,140,53375,133,66,41,175,5029,,,
30098. Uruguay,1. Urbana,98383,48419,118,44900,120,60,38,156,4572,,,
30098. Uruguay,2. Rural agrupada,11970,5841,15,5750,9,3,1,12,339,,,
30098. Uruguay,3. Rural dispersa,5163,2297,7,2725,4,3,2,7,118,,,
30105. Victoria,0. __tot__,40301,19669,47,18959,32,18,8,68,1500,,,
30105. Victoria,1. Urbana,34965,17328,45,16199,24,12,7,57,1293,,,
30105. Victoria,2. Rural agrupada,1027,485,1,493,2,3,,1,42,,,
30105. Victoria,3. Rural dispersa,4309,1856,1,2267,6,3,1,10,165,,,
30113. Villaguay,0. __tot__,55284,26413,123,25415,101,52,32,67,3081,,,
30113. Villaguay,1. Urbana,42537,20631,100,19007,94,46,25,60,2574,,,
30113. Villaguay,2. Rural agrupada,3588,1747,2,1710,,1,5,,123,,,
30113. Villaguay,3. Rural dispersa,9159,4035,21,4698,7,5,2,7,384,,,
34007. Bermejo,0. __tot__,15600,7183,12,7750,23,3,6,10,613,,,
34007. Bermejo,1. Urbana,5157,2480,1,2441,11,,5,4,215,,,
34007. Bermejo,2. Rural agrupada,6192,2916,4,3097,4,1,,2,168,,,
34007. Bermejo,3. Rural dispersa,4251,1787,7,2212,8,2,1,4,230,,,
34014. Formosa,0. __tot__,268572,133621,330,122871,184,81,55,212,11218,,,
34014. Formosa,1. Urbana,260325,129893,323,118681,177,79,55,208,10909,,,
34014. Formosa,2. Rural agrupada,5580,2662,3,2712,5,2,,3,193,,,
34014. Formosa,3. Rural dispersa,2667,1066,4,1478,2,,,1,116,,,
34021. Laishi,0. __tot__,19275,9324,25,9334,6,1,1,24,560,,,
34021. Laishi,1. Urbana,11799,5832,18,5557,3,,,8,381,,,
34021. Laishi,2. Rural agrupada,3561,1708,3,1724,2,,1,10,113,,,
34021. Laishi,3. Rural dispersa,3915,1784,4,2053,1,1,,6,66,,,
