DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
6413. Junín,2. Rural agrupada,4096,1613,23,1621,47,21,12,10,749,,,
6413. Junín,3. Rural dispersa,1483,615,1,714,11,1,4,2,135,,,
6420. La Costa,0. __tot__,100400,46194,144,43597,256,124,61,199,9825,,,
6420. La Costa,1. Urbana,99658,45995,139,43386,252,121,59,197,9509,,,
6420. La Costa,2. Rural agrupada,529,128,4,144,3,2,2,2,244,,,
6420. La Costa,3. Rural dispersa,213,71,1,67,1,1,,,72,,,
6427. La Matanza,0. __tot__,1837168,900702,3118,837867,2955,1429,750,2215,88132,,,
6427. La Matanza,1. Urbana,1837168,900702,3118,837867,2955,1429,750,2215,88132,,,
6434. Lanús,0. __tot__,460081,227799,562,205809,880,392,214,772,23653,,,
6434. Lanús,1. Urbana,460081,227799,562,205809,880,392,214,772,23653,,,
6441. La Plata,0. __tot__,756074,376606,899,343877,1015,1108,491,1745,30333,,,
6441. La Plata,1. Urbana,755233,376231,897,343470,1014,1108,490,1742,30281,,,
6441. La Plata,2. Rural agrupada,109,50,1,49,,,,2,7,,,
6441. La Plata,3. Rural dispersa,732,325,1,358,1,,1,1,45,,,
6448. Laprida,0. __tot__,11496,5732,16,5404,7,2,3,28,304,,,
6448. Laprida,1. Urbana,9320,4683,13,4335,3,2,3,25,256,,,
6448. Laprida,2. Rural agrupada,327,154,1,168,,,,,4,,,
6448. Laprida,3. Rural dispersa,1849,895,2,901,4,,,3,44,,,
6455. Las Flores,0. __tot__,27136,13094,62,12198,105,18,20,36,1603,,,
6455. Las Flores,1. Urbana,25075,12255,55,11250,75,15,15,32,1378,,,
6455. Las Flores,2. Rural agrupada,322,155,1,149,,,1,,16,,,
6455. Las Flores,3. Rural dispersa,1739,684,6,799,30,3,4,4,209,,,
6462. Leandro N. Alem,0. __tot__,17153,8512,25,8136,20,4,1,30,425,,,
6462. Leandro N. Alem,1. Urbana,15596,7780,18,7349,15,4,1,29,400,,,
6462. Leandro N. Alem,2. Rural agrupada,805,390,5,405,,,,,5,,,
6462. Leandro N. Alem,3. Rural dispersa,752,342,2,382,5,,,1,20,,,
6466. Lezama,0. __tot__,6170,3054,8,2886,3,4,2,11,202,,,
6466. Lezama,1. Urbana,5515,2773,6,2541,2,4,2,11,176,,,
