DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6021. Alberti,3. Varón,5818,5342,476,,,
6021. Alberti,4. Varón trans/masculinidad trans,30,26,4,,,
6021. Alberti,5. No binario,19,17,2,,,
6021. Alberti,6. Otra identidad/ninguna de las anteriores,19,15,4,,,
6021. Alberti,7. Prefiero no contestar,24,20,4,,,
6021. Alberti,9. Ignorado,839,699,140,,,
6028. Almirante Brown,0. __tot__,583209,545656,37553,,,
6028. Almirante Brown,1. Mujer,282739,265043,17696,,,
6028. Almirante Brown,2. Mujer trans/travesti,762,683,79,,,
6028. Almirante Brown,3. Varón,264354,247519,16835,,,
6028. Almirante Brown,4. Varón trans/masculinidad trans,977,883,94,,,
6028. Almirante Brown,5. No binario,379,342,37,,,
6028. Almirante Brown,6. Otra identidad/ninguna de las anteriores,188,176,12,,,
6028. Almirante Brown,7. Prefiero no contestar,654,617,37,,,
6028. Almirante Brown,9. Ignorado,33156,30393,2763,,,
6035. Avellaneda,0. __tot__,366117,345273,20844,,,
6035. Avellaneda,1. Mujer,183496,172949,10547,,,
6035. Avellaneda,2. Mujer trans/travesti,393,361,32,,,
6035. Avellaneda,3. Varón,164996,156101,8895,,,
6035. Avellaneda,4. Varón trans/masculinidad trans,421,379,42,,,
6035. Avellaneda,5. No binario,284,277,7,,,
6035. Avellaneda,6. Otra identidad/ninguna de las anteriores,145,131,14,,,
6035. Avellaneda,7. Prefiero no contestar,619,570,49,,,
6035. Avellaneda,9. Ignorado,15763,14505,1258,,,
6042. Ayacucho,0. __tot__,21757,19357,2400,,,
6042. Ayacucho,1. Mujer,10610,9470,1140,,,
6042. Ayacucho,2. Mujer trans/travesti,30,22,8,,,
6042. Ayacucho,3. Varón,10183,9076,1107,,,
6042. Ayacucho,4. Varón trans/masculinidad trans,25,20,5,,,
6042. Ayacucho,5. No binario,17,16,1,,,
6042. Ayacucho,6. Otra identidad/ninguna de las anteriores,7,4,3,,,
6042. Ayacucho,7. Prefiero no contestar,27,24,3,,,
6042. Ayacucho,9. Ignorado,858,725,133,,,
6049. Azul,0. __tot__,75152,67874,7278,,,
6049. Azul,1. Mujer,36038,32727,3311,,,
6049. Azul,2. Mujer trans/travesti,125,109,16,,,
6049. Azul,3. Varón,33753,30477,3276,,,
6049. Azul,4. Varón trans/masculinidad trans,164,142,22,,,
6049. Azul,5. No binario,151,133,18,,,
6049. Azul,6. Otra identidad/ninguna de las anteriores,56,50,6,,,
6049. Azul,7. Prefiero no contestar,108,94,14,,,
6049. Azul,9. Ignorado,4757,4142,615,,,
6056. Bahía Blanca,0. __tot__,334505,314657,19848,,,
6056. Bahía Blanca,1. Mujer,162504,153245,9259,,,
6056. Bahía Blanca,2. Mujer trans/travesti,308,269,39,,,
6056. Bahía Blanca,3. Varón,150323,142058,8265,,,
6056. Bahía Blanca,4. Varón trans/masculinidad trans,535,475,60,,,
6056. Bahía Blanca,5. No binario,322,300,22,,,
6056. Bahía Blanca,6. Otra identidad/ninguna de las anteriores,158,143,15,,,
6056. Bahía Blanca,7. Prefiero no contestar,523,483,40,,,
6056. Bahía Blanca,9. Ignorado,19832,17684,2148,,,
6063. Balcarce,0. __tot__,48516,43328,5188,,,
6063. Balcarce,1. Mujer,23483,21088,2395,,,
6063. Balcarce,2. Mujer trans/travesti,68,55,13,,,
6063. Balcarce,3. Varón,22344,20001,2343,,,
6063. Balcarce,4. Varón trans/masculinidad trans,95,76,19,,,
6063. Balcarce,5. No binario,28,25,3,,,
6063. Balcarce,6. Otra identidad/ninguna de las anteriores,17,14,3,,,
6063. Balcarce,7. Prefiero no contestar,52,48,4,,,
6063. Balcarce,9. Ignorado,2429,2021,408,,,
6070. Baradero,0. __tot__,39223,35815,3408,,,
6070. Baradero,1. Mujer,18466,17030,1436,,,
6070. Baradero,2. Mujer trans/travesti,85,69,16,,,
6070. Baradero,3. Varón,17645,16191,1454,,,
6070. Baradero,4. Varón trans/masculinidad trans,206,171,35,,,
6070. Baradero,5. No binario,45,35,10,,,
6070. Baradero,6. Otra identidad/ninguna de las anteriores,45,37,8,,,
6070. Baradero,7. Prefiero no contestar,74,62,12,,,
6070. Baradero,9. Ignorado,2657,2220,437,,,
6077. Arrecifes,0. __tot__,32077,29283,2794,,,
6077. Arrecifes,1. Mujer,15957,14652,1305,,,
6077. Arrecifes,2. Mujer trans/travesti,35,30,5,,,
6077. Arrecifes,3. Varón,14900,13557,1343,,,
6077. Arrecifes,4. Varón trans/masculinidad trans,20,19,1,,,
6077. Arrecifes,5. No binario,6,5,1,,,
6077. Arrecifes,6. Otra identidad/ninguna de las anteriores,9,9,,,,
6077. Arrecifes,7. Prefiero no contestar,37,33,4,,,
6077. Arrecifes,9. Ignorado,1113,978,135,,,
6084. Benito Juárez,0. __tot__,21185,18848,2337,,,
6084. Benito Juárez,1. Mujer,10017,8968,1049,,,
6084. Benito Juárez,2. Mujer trans/travesti,40,30,10,,,
6084. Benito Juárez,3. Varón,9618,8692,926,,,
6084. Benito Juárez,4. Varón trans/masculinidad trans,47,35,12,,,
6084. Benito Juárez,5. No binario,25,16,9,,,
6084. Benito Juárez,6. Otra identidad/ninguna de las anteriores,10,7,3,,,
6084. Benito Juárez,7. Prefiero no contestar,28,24,4,,,
6084. Benito Juárez,9. Ignorado,1400,1076,324,,,
6091. Berazategui,0. __tot__,358328,338397,19931,,,
6091. Berazategui,1. Mujer,175246,165909,9337,,,
6091. Berazategui,2. Mujer trans/travesti,416,382,34,,,
6091. Berazategui,3. Varón,164439,155262,9177,,,
6091. Berazategui,4. Varón trans/masculinidad trans,529,454,75,,,
6091. Berazategui,5. No binario,214,204,10,,,
6091. Berazategui,6. Otra identidad/ninguna de las anteriores,105,91,14,,,
6091. Berazategui,7. Prefiero no contestar,502,447,55,,,
6091. Berazategui,9. Ignorado,16877,15648,1229,,,
6098. Berisso,0. __tot__,100685,93847,6838,,,
6098. Berisso,1. Mujer,49596,46339,3257,,,
6098. Berisso,2. Mujer trans/travesti,150,134,16,,,
6098. Berisso,3. Varón,45819,42727,3092,,,
6098. Berisso,4. Varón trans/masculinidad trans,193,176,17,,,
6098. Berisso,5. No binario,88,81,7,,,
6098. Berisso,6. Otra identidad/ninguna de las anteriores,48,42,6,,,
6098. Berisso,7. Prefiero no contestar,118,106,12,,,
6098. Berisso,9. Ignorado,4673,4242,431,,,
6105. Bolívar,0. __tot__,37194,32885,4309,,,
6105. Bolívar,1. Mujer,18176,16121,2055,,,
6105. Bolívar,2. Mujer trans/travesti,73,56,17,,,
6105. Bolívar,3. Varón,16877,14981,1896,,,
6105. Bolívar,4. Varón trans/masculinidad trans,123,104,19,,,
6105. Bolívar,5. No binario,27,23,4,,,
6105. Bolívar,6. Otra identidad/ninguna de las anteriores,15,10,5,,,
6105. Bolívar,7. Prefiero no contestar,44,37,7,,,
6105. Bolívar,9. Ignorado,1859,1553,306,,,
6112. Bragado,0. __tot__,46227,42745,3482,,,
6112. Bragado,1. Mujer,21756,20225,1531,,,
6112. Bragado,2. Mujer trans/travesti,74,61,13,,,
6112. Bragado,3. Varón,20413,19001,1412,,,
6112. Bragado,4. Varón trans/masculinidad trans,145,131,14,,,
6112. Bragado,5. No binario,52,43,9,,,
6112. Bragado,6. Otra identidad/ninguna de las anteriores,48,41,7,,,
6112. Bragado,7. Prefiero no contestar,70,62,8,,,
6112. Bragado,9. Ignorado,3669,3181,488,,,
6119. Brandsen,0. __tot__,32350,29240,3110,,,
6119. Brandsen,1. Mujer,15770,14287,1483,,,
6119. Brandsen,2. Mujer trans/travesti,38,36,2,,,
6119. Brandsen,3. Varón,15166,13730,1436,,,
6119. Brandsen,4. Varón trans/masculinidad trans,39,32,7,,,
6119. Brandsen,5. No binario,16,12,4,,,
6119. Brandsen,6. Otra identidad/ninguna de las anteriores,11,7,4,,,
6119. Brandsen,7. Prefiero no contestar,71,55,16,,,
6119. Brandsen,9. Ignorado,1239,1081,158,,,
6126. Campana,0. __tot__,107976,101020,6956,,,
6126. Campana,1. Mujer,52735,49479,3256,,,
6126. Campana,2. Mujer trans/travesti,139,128,11,,,
6126. Campana,3. Varón,50829,47502,3327,,,
6126. Campana,4. Varón trans/masculinidad trans,140,123,17,,,
6126. Campana,5. No binario,48,45,3,,,
6126. Campana,6. Otra identidad/ninguna de las anteriores,33,32,1,,,
6126. Campana,7. Prefiero no contestar,126,115,11,,,
6126. Campana,9. Ignorado,3926,3596,330,,,
6134. Cañuelas,0. __tot__,70542,65286,5256,,,
6134. Cañuelas,1. Mujer,34291,31790,2501,,,
6134. Cañuelas,2. Mujer trans/travesti,84,74,10,,,
6134. Cañuelas,3. Varón,33187,30695,2492,,,
6134. Cañuelas,4. Varón trans/masculinidad trans,58,51,7,,,
6134. Cañuelas,5. No binario,39,33,6,,,
6134. Cañuelas,6. Otra identidad/ninguna de las anteriores,31,28,3,,,
6134. Cañuelas,7. Prefiero no contestar,69,65,4,,,
6134. Cañuelas,9. Ignorado,2783,2550,233,,,
6140. Capitán Sarmiento,0. __tot__,15882,14786,1096,,,
6140. Capitán Sarmiento,1. Mujer,7899,7352,547,,,
6140. Capitán Sarmiento,2. Mujer trans/travesti,21,17,4,,,
6140. Capitán Sarmiento,3. Varón,7405,6902,503,,,
6140. Capitán Sarmiento,4. Varón trans/masculinidad trans,13,13,,,,
