DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
2091. Comuna 13,5. No binario,402,384,18,,,
2091. Comuna 13,6. Otra identidad/ninguna de las anteriores,274,251,23,,,
2091. Comuna 13,7. Prefiero no contestar,856,779,77,,,
2091. Comuna 13,9. Ignorado,13309,12126,1183,,,
2098. Comuna 14,0. __tot__,247252,236988,10264,,,
2098. Comuna 14,1. Mujer,127452,122040,5412,,,
2098. Comuna 14,2. Mujer trans/travesti,363,329,34,,,
2098. Comuna 14,3. Varón,103089,99552,3537,,,
2098. Comuna 14,4. Varón trans/masculinidad trans,516,480,36,,,
2098. Comuna 14,5. No binario,472,433,39,,,
2098. Comuna 14,6. Otra identidad/ninguna de las anteriores,281,255,26,,,
2098. Comuna 14,7. Prefiero no contestar,898,833,65,,,
2098. Comuna 14,9. Ignorado,14181,13066,1115,,,
2105. Comuna 15,0. __tot__,195265,182283,12982,,,
2105. Comuna 15,1. Mujer,98584,91975,6609,,,
2105. Comuna 15,2. Mujer trans/travesti,222,195,27,,,
2105. Comuna 15,3. Varón,85422,80157,5265,,,
2105. Comuna 15,4. Varón trans/masculinidad trans,363,327,36,,,
2105. Comuna 15,5. No binario,549,518,31,,,
2105. Comuna 15,6. Otra identidad/ninguna de las anteriores,194,179,15,,,
2105. Comuna 15,7. Prefiero no contestar,762,700,62,,,
2105. Comuna 15,9. Ignorado,9169,8232,937,,,
6007. Adolfo Alsina,0. __tot__,17344,14757,2587,,,
6007. Adolfo Alsina,1. Mujer,8405,7228,1177,,,
6007. Adolfo Alsina,2. Mujer trans/travesti,24,18,6,,,
6007. Adolfo Alsina,3. Varón,8373,7045,1328,,,
6007. Adolfo Alsina,4. Varón trans/masculinidad trans,5,4,1,,,
6007. Adolfo Alsina,5. No binario,3,2,1,,,
6007. Adolfo Alsina,6. Otra identidad/ninguna de las anteriores,3,3,,,,
6007. Adolfo Alsina,7. Prefiero no contestar,27,26,1,,,
6007. Adolfo Alsina,9. Ignorado,504,431,73,,,
6014. Adolfo Gonzales Chaves,0. __tot__,12847,10561,2286,,,
6014. Adolfo Gonzales Chaves,1. Mujer,6211,5159,1052,,,
6014. Adolfo Gonzales Chaves,2. Mujer trans/travesti,12,6,6,,,
6014. Adolfo Gonzales Chaves,3. Varón,5894,4802,1092,,,
6014. Adolfo Gonzales Chaves,4. Varón trans/masculinidad trans,8,7,1,,,
6014. Adolfo Gonzales Chaves,5. No binario,5,4,1,,,
6014. Adolfo Gonzales Chaves,6. Otra identidad/ninguna de las anteriores,2,2,,,,
6014. Adolfo Gonzales Chaves,7. Prefiero no contestar,16,14,2,,,
6014. Adolfo Gonzales Chaves,9. Ignorado,699,567,132,,,
6021. Alberti,0. __tot__,12906,10827,2079,,,
6021. Alberti,1. Mujer,6141,5208,933,,,
6021. Alberti,2. Mujer trans/travesti,16,13,3,,,
6021. Alberti,3. Varón,5818,4916,902,,,
6021. Alberti,4. Varón trans/masculinidad trans,30,24,6,,,
6021. Alberti,5. No binario,19,13,6,,,
6021. Alberti,6. Otra identidad/ninguna de las anteriores,19,13,6,,,
6021. Alberti,7. Prefiero no contestar,24,21,3,,,
6021. Alberti,9. Ignorado,839,619,220,,,
6028. Almirante Brown,0. __tot__,583209,499601,83608,,,
6028. Almirante Brown,1. Mujer,282739,243554,39185,,,
6028. Almirante Brown,2. Mujer trans/travesti,762,618,144,,,
6028. Almirante Brown,3. Varón,264354,226401,37953,,,
6028. Almirante Brown,4. Varón trans/masculinidad trans,977,804,173,,,
6028. Almirante Brown,5. No binario,379,318,61,,,
6028. Almirante Brown,6. Otra identidad/ninguna de las anteriores,188,157,31,,,
6028. Almirante Brown,7. Prefiero no contestar,654,562,92,,,
6028. Almirante Brown,9. Ignorado,33156,27187,5969,,,
6035. Avellaneda,0. __tot__,366117,322506,43611,,,
6035. Avellaneda,1. Mujer,183496,162271,21225,,,
6035. Avellaneda,2. Mujer trans/travesti,393,312,81,,,
6035. Avellaneda,3. Varón,164996,145455,19541,,,
6035. Avellaneda,4. Varón trans/masculinidad trans,421,349,72,,,
6035. Avellaneda,5. No binario,284,259,25,,,
6035. Avellaneda,6. Otra identidad/ninguna de las anteriores,145,120,25,,,
6035. Avellaneda,7. Prefiero no contestar,619,546,73,,,
6035. Avellaneda,9. Ignorado,15763,13194,2569,,,
6042. Ayacucho,0. __tot__,21757,17049,4708,,,
6042. Ayacucho,1. Mujer,10610,8412,2198,,,
