dataset_slug,source_item,row_variable,row_variable_label,column_variable,column_variable_label,area_break,dpto_code,dpto_name,category_label,p03_label,value_raw,value,temp_table_url
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Varón trans/masculinidad trans,324,324,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,No binario,282,282,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Otra identidad/ninguna de las anteriores,161,161,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Prefiero no contestar,509,509,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Ignorado,9 176,9176,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02014,Comuna 2,Total,Total,160 609,160609,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Mujer,97 198,97198,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Mujer trans/travesti,324,324,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Varón,83 045,83045,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Varón trans/masculinidad trans,521,521,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,No binario,438,438,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Otra identidad/ninguna de las anteriores,242,242,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Prefiero no contestar,589,589,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Ignorado,11 180,11180,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Urbana,Total,193 537,193537,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Mujer,97 198,97198,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Mujer trans/travesti,324,324,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Varón,83 045,83045,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Varón trans/masculinidad trans,521,521,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,No binario,438,438,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Otra identidad/ninguna de las anteriores,242,242,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Prefiero no contestar,589,589,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Ignorado,11 180,11180,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02021,Comuna 3,Total,Total,193 537,193537,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Mujer,113 953,113953,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Mujer trans/travesti,257,257,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Varón,102 116,102116,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Varón trans/masculinidad trans,308,308,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,No binario,237,237,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Otra identidad/ninguna de las anteriores,120,120,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Prefiero no contestar,445,445,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Ignorado,9 588,9588,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Urbana,Total,227 024,227024,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Mujer,113 953,113953,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Mujer trans/travesti,257,257,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Varón,102 116,102116,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Varón trans/masculinidad trans,308,308,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,No binario,237,237,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Otra identidad/ninguna de las anteriores,120,120,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Prefiero no contestar,445,445,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Ignorado,9 588,9588,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02028,Comuna 4,Total,Total,227 024,227024,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Mujer,97 720,97720,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Mujer trans/travesti,309,309,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Varón,81 309,81309,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Varón trans/masculinidad trans,456,456,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,No binario,503,503,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Otra identidad/ninguna de las anteriores,280,280,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Prefiero no contestar,682,682,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Ignorado,11 190,11190,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Urbana,Total,192 449,192449,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Mujer,97 720,97720,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Mujer trans/travesti,309,309,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Varón,81 309,81309,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Varón trans/masculinidad trans,456,456,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,No binario,503,503,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Otra identidad/ninguna de las anteriores,280,280,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Prefiero no contestar,682,682,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Ignorado,11 190,11190,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02035,Comuna 5,Total,Total,192 449,192449,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Mujer,101 151,101151,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Mujer trans/travesti,261,261,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Varón,83 047,83047,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Varón trans/masculinidad trans,683,683,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,No binario,409,409,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Otra identidad/ninguna de las anteriores,333,333,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Prefiero no contestar,671,671,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Ignorado,15 209,15209,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Urbana,Total,201 764,201764,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Total,Mujer,101 151,101151,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Total,Mujer trans/travesti,261,261,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Total,Varón,83 047,83047,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02042,Comuna 6,Total,Varón trans/masculinidad trans,683,683,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
